College Name,College Logo,Course Name,Application Date,College Location,College Afilliation,College Info
"Rishihood University Admission 2024: Courses, Fees, Application Process, Eligibility",https://images.collegedunia.com/public/college_data/images/appImage/1703482183IMG5132scaled.jpg?h=160&w=313&mode=stretch,B.Des  | B.Sc ,"June 29th, 2024","Sonepat,  Haryana",,"Rishihood University is currently accepting admission for UG courses. Admissions are offered in courses like BSc (Hons.) Psychology, B.Des, BBA and B.Tech at the UG level. Applicants are evaluated on the basis of their overall performance across our selection criteria that includes past academic records, personal interview, admission test scores and others.Note: Candidates can avail scholarship upto 15%"
"KLE College of Pharmacy, Hubli Admission 2023, Fees Structure, Admission Process, Eligibility",https://images.collegedunia.com/public/college_data/images/appImage/9570_cvr.png?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Hubli,  Karnataka","RGUHS, Bangalore","KLE College of Pharmacy, Hubli campus (KLECPH) is a constituent college of the KLE University (deemed-to-be), Belgaum. It was established in the year 1985 by the KLE Society. The college is affiliated to Rajiv Gandhi University of Health Sciences, Karnataka, and the Bachelor’s and Master’s degree programs offered by the institute are approved by the All India Council for Technical Education (AICTE), New Delhi.The College currently offers two UG courses, viz. B. Pharm. and Pharm. D., a PG program (M. Pharm.) with 4 branches, and a Ph.D. program in 4 different pharmacy specializations, viz. Pharmaceutics, Pharmacology, Pharmacognosy, and Pharmachemistry. KLECPH was ranked #37 in the National Institutional Ranking Framework pharmacy ranking 2021."
"NIT Andhra Pradesh Courses Admissions 2024: Dates, Eligibility, Cutoff, Selection, Application Process",https://images.collegedunia.com/public/college_data/images/appImage/_adminbuildingnitap.jpg?h=160&w=313&mode=stretch,M.Phil/Ph.D in Science ,"June 29th, 2024","Tadepalligudem,  Andhra Pradesh",,"NIT Andhra Pradesh offers a four-year B.Tech program in 5 specializations. Out of 5 specializations offered, the most opted stream at the institute is Computer Science and Engineering (CSE) with a cutoff ranging from 8140 to 17474 in the JoSAA Counselling. The cutoff marks for all rounds of JoSAA are out. Candidates can check NIT Andhra Pradesh JEE Main Cutoff here.For the B.Tech admissions at NIT Andhra Pradesh, candidates are required to appear for JEE Main examination and participate in the JoSAA counseling for the final seat allotments. NIT Andhra Pradesh Charges a fee of INR 1.88 Lakhs per year for its B.Tech program. NIT Andhra Pradesh admission process involves other national level examinations too such as GATE for M.Tech. The selection criteria, cutoff, dates, eligibility, and application process are discussed in the article."
"LNMU Admission 2024: UG, PG, PhD, Courses, Eligibility, Application Form, Last Date to Apply",https://images.collegedunia.com/public/college_data/images/appImage/25413_LNMU_NEW.jpg?h=160&w=313&mode=stretch,B.Com  | B.Ed ,"June 29th, 2024","Darbhanga,  Bihar",,"Yes, you can take direct admission to LNMU. Students who don’t get the college through the merit lists can take direct admission through LNMU Spot Admission. During admission cycle of last year, the university offered spot round admission to B.A, B.Sc, B.Com, after merit list 1 & 2 admissions were completed. The spot round admissions were done based on vacant seats. You can get the vacant seat information for your subject on the official website of the institute. If seats are available, you can contact the college for direct admission. "
"Institute of Pharmacy, Nirma University Admission 2024: Courses, Placement, Fees Structure, Merit List",https://images.collegedunia.com/public/college_data/images/appImage/1622451787SUR55451024x305.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Ahmedabad,  Gujarat","Nirma University, Ahmedabad","One of India’s leading universities based in Ahmedabad (Gujarat), Nirma University was established in the year 2003. The Institute of Pharmacy was established the same year with a view to promote excellence in pharmaceutical education and to face challenges in the area of pharmaceutical industries, education, research & development and marketing. Institute of Pharmacy, Nirma University received All India Rank # 37 for year 2023 by the National Institutional Ranking Framework (NIRF), MHRD, Government of India. The institute provides degree, postgraduate and doctoral level education at this centre of excellence."
"Saraswati College of Engineering (SCOE) Navi Mumbai Admission 2024: Cut Off, Reservation",https://images.collegedunia.com/public/college_data/images/appImage/1716805408Coverimage11zon1.jpg?h=160&w=313&mode=stretch,BE/B.Tech ,"June 29th, 2024","Navi Mumbai,  Maharashtra","Mumbai University, Mumbai","Saraswati College of Engineering is a premier engineering institute in Kharghar, Navi Mumbai. The college was established in September 2004 and is affiliated to Mumbai University.SCOE Kharghar offers four-year B.E courses and two-year M.E courses. The annual intake for Bachelor’s and Master’s degree program in Engineering is 630 and 18, respectively."
"IES College of Pharmacy Bhopal Admission 2023, Fees Structure, Cutoff, Ranking",https://images.collegedunia.com/public/college_data/images/appImage/14902688614.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Bhopal,  Madhya Pradesh","RGPV, Bhopal","IES College of Pharmacy is a private institution which is located in the city of Bhopal, Madhya Pradesh, India. The institute is affiliated to Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal and was established in 1999."
"IMS Noida Admission 2024: Application form, Eligibility, Selection",https://images.collegedunia.com/public/college_data/images/appImage/1486632852IMSNoida.jpg?h=160&w=313&mode=stretch,MBA/PGDM ,"June 29th, 2024","Noida,  Uttar Pradesh","CCSU, Meerut","Institute of Management Studies (IMS) Noida is accepting applications for its UG & PG Courses. Candidates interested in admission to IMS Noida courses are requested to appear for Joint Entrance Test (JET) conducted by the Institute on their premises. IMS Noida campus is equipped with all the facilities, from Lecture & Seminar Halls to Library and Laboratories. In the placement drive of 2022 of IMS Noida, the highest CTC stood at INR 12 LPA and the average CTC stood at INR 6.28 LPA. IMS Noida is ranked 17th in Private B-school in Delhi-NCR by The Week.IMS Noida Campus Review"
"HIMT College of Pharmacy Greater Noida Admission 2024: Fees Structure, Courses, Cutoff, Notification",https://images.collegedunia.com/public/college_data/images/appImage/1499849618abouhimt1.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Greater Noida,  Uttar Pradesh","AKTU, Lucknow","HIMT College of Pharmacy offers admission in three major courses viz. Diploma in Pharmacy, Bachelor’s in Pharmacy (B. Pharma) and Master’s in Pharmacy (M. Pharma).HIMT College of Pharmacy came into existence in the year 2005 in Greater Noida, Uttar Pradesh. It is affiliated by Dr. A. P. J. Abdul Kalam Technical University (AKTU), Lucknow."
"G Pulla Reddy College of Pharmacy (GPRCP), Hyderabad Admission 2023, Placement, Syllabus, Fees Structure, Cutoff",https://images.collegedunia.com/public/college_data/images/appImage/9412_build.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Hyderabad,  Telangana","Osmania University, Hyderabad","G. Pulla Reddy College of Pharmacy is the center for research in Pharmacy. It was established in 1994 and is located in Hyderabad. The college is affiliated to Osmania University and is AICTE approved. G Pulla Reddy College of Pharmacy offers B. Pharm, M. Pharm, Ph.D. and D.Pharm courses at the UG, PG and research level."
"NIT Mizoram Courses Admission 2024:  Eligibility, Selection Criteria, Application Process",https://images.collegedunia.com/public/college_data/images/appImage/28298_NITMZ_NEW.jpg?h=160&w=313&mode=stretch,BE/B.Tech  | M.Phil/Ph.D in Arts ,"June 29th, 2024","Aizawl,  Mizoram",,
"Dayananda Sagar College of Pharmacy (DSCP) Bangalore Admissions 2023, Fees Structure, Review, Eligibility, Entrance Exam",https://images.collegedunia.com/public/college_data/images/appImage/9370_Capture.JPG11.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Bangalore,  Karnataka","RGUHS, Bangalore","Originated in the year 1991, Dayananda Sagar College of Pharmacy (DSCP) is situated in Bangalore, Karnataka. Affiliated to Rajiv Gandhi University of Health Sciences, Bangalore, the college offers a 6-years Doctorate in Pharmacy (Pharma D.), 4-years Bachelor in Pharmacy (B. Pharma) and 2-years M. Pharma.  "
"Madras University Admissions 2024: UG, PG, PhD, Courses, Eligibility, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/15047804851443184840UOMNEW.jpg?h=160&w=313&mode=stretch,BA  | Executive MBA ,"June 29th, 2024","Chennai,  Tamil Nadu",,"Madras University offers admission to the PG, Research, Diploma, and Certificate programs through its affiliated colleges. The courses are offered in areas of sciences, social sciences, humanities, management, and medicine. Madras University also offers various UG and PG programs through distance education under its Institute of Distance Education (IDE).Madras University admission is granted on the basis of merit or entrance examination. Admission to the UG courses is based on merit in the qualifying exam while PG admissions are offered on the basis of the entrance exam conducted by the university. Candidates seeking admission to the MBA and MCA programs need to have a valid score in the TANCET entrance examination.Madras University PhD admission is done through a written test and personal interview conducted by the university. Candidates having valid scores in the UGC NET/ CSIR NET entrance examination are exempted from the written test. Application forms for Madras University courses can be filled online by visiting the official website of the university."
"Dadhichi College of Pharmacy (DCP), Cuttak Admission 2023, Fees Structure, Courses, Review",https://images.collegedunia.com/public/college_data/images/appImage/9365_DCPC_APP.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Cuttack,  Odisha",,"Dadhichi College of Pharmacy, established in 2005, is a premier pharmaceutical training institute located in Cuttack, Orissa. The college is affiliated to the Biju Patnaik University of Technology, Orissa and offers UG, Diploma and PG courses in the field of pharmaceutical studies.The Undergraduate courses offered by Dadhichi College of Pharmacy includes B.Pharm. Program which has a total duration of four-year and M.Pharm. Program has a total duration of two-year. It is offered in specializations like Pharmaceutics and Pharmacology with each of the stream having an intake of 18 students each."
"Chalapathi Institute of Pharmaceutical Sciences Admission 2024: Dates, Courses, Fees, Cutoff, Application Form",https://images.collegedunia.com/public/college_data/images/appImage/9339_CIPS_APP.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Guntur,  Andhra Pradesh","ANU, Guntur","Chalapathi Institute of Pharmaceutical Sciences was established in the year 2004 in Guntur, Andhra Pradesh. The college is affiliated with Acharya Nagarjuna University (ANU), Guntur. Ph.D and M.Phil programs are affiliated to Krishna University. Chalapathi Institute of Pharmaceutical Sciences offers B.Pharm course of four-year duration, M.Pharm program of two-year duration with 5 specializations, and Pharm.D course of 6 years duration. The college also offers full-time, part-time, and independent Ph.D. and M.Phil. Program."
"Bhaskar Pharmacy College, Rangareddi Admission 2023, Fees Structure, Cutoff, Entrance Exam",https://images.collegedunia.com/public/college_data/images/appImage/9310_5.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Hyderabad,  Telangana","JNTUH, Hyderabad","Bhaskar Pharmacy College was founded in the year 2007 in Rangareddi, Telangana. The college is affiliated with Jawaharlal Nehru Technological University, Hyderabad.Bhaskar Pharmacy College offers B.Pharm course of four-year duration, the M.Pharm course of two-year duration, and Pharm.D program of six-year duration in its curriculum."
"Bharati Vidyapeeth College of Pharmacy (BVCP), Kolhapur Admission 2024, Placement, Entrance Exam, Review",https://images.collegedunia.com/public/college_data/images/appImage/9305_bharti_new.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Kolhapur,  Maharashtra","Shivaji University, Kolhapur","Bharati Vidyapeeth College of Pharmacy (BVCP) was established in the year 1996 by Bharati Vidyapeeth group. The college is located in Kolhapur district, Maharashtra. It is affiliated with Shivaji University, Kolhapur.Bharati Vidyapeeth Pharmacy College, Kolhapur offers a 4-year undergraduate degree B. Pharm, a 3-year M. Pharm degree at the PG level including a Ph.D. program in Pharmacy sciences, all of which are approved by AICTE, New Delhi."
"Bapatla College of Pharmacy (BCOP) Guntur Admission 2023, Fees Structure, Courses, Placement",https://images.collegedunia.com/public/college_data/images/appImage/9293_z00.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Guntur,  Andhra Pradesh","JNTUK, Kakinada","Bapatla College of Pharmacy was founded by Bapatla Education Society in the year 1995 in Guntur, Andhra Pradesh. The college is affiliated to Jawaharlal Nehru Technological University, Hyderabad.Bapatla College of Pharmacy is known for its B. Pharma course under UG Program and M. Pharma course under its PG Program with 3 specializations each.  "
"Hindu College Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/1492065245cover..png?h=160&w=313&mode=stretch,B.Com  | B.Sc ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Hindu College Admission 2024 are ongoing on the official website. The college carries out admission to all UG and PG courses through Delhi University’s Common Seat Allocation System (DU CSAS). For the UG courses, CUET UG scores are accepted. Hindu College accepts CUET PG for admission to MA, M.Com and M.Sc programs.The CUET UG is generally conducted in March and the CUET PG is conducted in the month of May/June by NTA, every year. The results are released within a month of the completion of exam. After this, for admission, candidates must register for the DU CSAS (UG & PG) registration process and choose Hindu College and available courses as their preference. Based on the preferences & reservation criteria, Delhi University releases the seat allotment results in multiple rounds. The Hindu College admission cut off for B.Sc (Hons.) Chemistry and BA (Hons.) Political Science ranges between 750 and 775 marks for general category students. Additionally, Delhi University has introduced a reservation of one seat in every course to single girl child students. Once candidates get allocated Hindu College with their chosen course, they must accept and lock their options to get a seat at the college. Then, the verification of documents is carried out by the college admission and the final course fee must be paid. The Hindu College admission process has been explained in the sections below."
"SRCC Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/4417_SRCC_New.jpg?h=160&w=313&mode=stretch,B.Com  | BA ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","SRCC Admission 2024 has started on the official website. The college carries out admission to all UG and PG courses through Delhi University’s Common Seat Allocation System (DU CSAS). For BA (Hons) Economics and B.Com (Hons) courses, CUET UG scores are accepted. SRCC accepts CUET PG for admission to MA and M.Com programs.The CUET UG is generally conducted in March and the CUET PG is conducted in the month of May/June by NTA, every year. The results are released within a month of the completion of exam. After this, for admission, candidates must register for the DU CSAS (UG & PG) registration process and choose SRCC and available courses as their preference. Based on the preferences & reservation criteria, Delhi University releases the seat allotment results in multiple rounds. The SRCC admission cut off for BA (Hons) Economics and B.Com (Hons) ranges between 760 and 785 marks for general category students. Additionally, Delhi University has introduced a reservation of one seat in every course to single girl child students as well. Once candidates get allocated SRCC with their chosen course, they must accept and lock their options to get a seat at the college. Then, the verification of documents is carried out by the college admission and the final course fee must be paid. The SRCC admission process has been explained in the sections below."
"Miranda House Admission 2024: CUET, Courses, Fees, Eligibility Criteria, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/3004_MHC.jpg?h=160&w=313&mode=stretch,B.Ed  | B.Sc ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Miranda House Admission 2024 is ongoing. Miranda House conducts admission to all UG and PG courses through Delhi University’s Common Seat Allocation System (DU CSAS) portal. Admission to all the UG courses such as BA (Hons) English, B.Sc (Hons) Chemistry, BA (Hons) Sociology, BA (Hons) Philosophy, etc. is offered based on CUET UG scores. Miranda House accepts CUET PG scores for MA and M.Sc admissions.The CUET UG exams are conducted in the month of March and the CUET PG is conducted in the month of May/June every year. The results are generally released within a month of the exam. After this, for admission to Miranda House, candidates have to register themselves in the DU CSAS registration process and choose Miranda House and available courses as their preference. Based on the preferences & reservation criteria, Delhi University releases the seat allotment results in multiple rounds. The Miranda House admission cut-off for BA (Hons) Sociology and BA (Hons) Economics ranges between 750 and 785 marks for general category students. In addition to category-wise seat reservation, Delhi University has introduced a reservation of one seat in every course to single girl child students as well.Once candidates get allocated Miranda House with their chosen course, they must accept and lock their options to get a seat at the college. Then, the verification of documents is carried out by the college admission and the final course fee must be paid. The Miranda House admission process has been explained below in detail."
"SGTB Khalsa College Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/14920635735.jpg?h=160&w=313&mode=stretch,B.Com  | B.Sc ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Shri Guru Tegh Bahadur Khalsa College Admission 2024 has started. The admission process is carried out to all UG and PG courses through the centralized Delhi University Common Seat Allocation System (DU CSAS). The college accepts CUET scores as the basis of admission to both UG and PG levels, which is administered by NTA. The CUET UG is generally conducted in March and the CUET PG is conducted in the month of May/June by NTA, every year. The SGTB Khalsa College admission cutoff 2024 is expected to range between 750 and 770 marks for all the UG courses. For admission to PG courses, the CUET PG cutoff marks is expected to range between 190 – 230 marks out of 300. The registration process for admission to SGTB Khalsa College generally starts after the declaration of CUET result. Candidates who selected Delhi University while filling out the CUET application can register themselves on the DU CSAS portal and choose [College + Course] preferences. The entire selection process is done via the DU CSAS portal for the UG & PG courses in multiple rounds. Candidates can check the seat allotment result on the CSAS dashboard. They can confirm their seat by paying the admission fee after seat allotment. The SGTB Khalsa College courses, eligibility criteria, cutoff, and admission process are discussed in the article below."
"Lady Shri Ram College Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/14918218951444135101LSRCNEW.jpg?h=160&w=313&mode=stretch,B.Com  | B.Ed ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Lady Shri Ram College (LSR) Admission 2024 has started. The admission process is carried out for all UG and PG courses through the centralized Delhi University Common Seat Allocation System (DU CSAS). The college accepts CUET scores as the basis of admission to both UG and PG levels. The entrance exams are administered by NTA. CUET UG is generally conducted in March and CUET PG is conducted in the month of May/June by NTA, every year. The LSR admission cutoff 2024 is expected to range between 705 and 770 marks for all the UG courses. The registration process for admission to Lady Shri Ram College generally starts after the declaration of the CUET result. Candidates who selected Delhi University while filling out the CUET application can register themselves on the DU CSAS portal and choose [College + Course] preferences. The entire selection process is done via the DU CSAS portal for the UG & PG courses in multiple rounds. Candidates can check the seat allotment result on the CSAS dashboard. They can confirm their seat by paying the admission fee after seat allotment. The LSR courses, eligibility criteria, cutoff, and admission process are discussed in the article below."
"Mata Sundri College for Women, Delhi Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/2949_MSC_New.jpg?h=160&w=313&mode=stretch,B.Com  | B.Ed ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Mata Sundri College Admission 2024 has started. The admission process is carried out for all UG and PG courses through the centralized Delhi University Common Seat Allocation System (DU CSAS). The college accepts CUET scores as the basis of admission to both UG and PG levels, which is administered by NTA. The CUET UG is generally conducted in March and the CUET PG is conducted in the month of May/June by NTA, every year. The SGTB Khalsa College admission cutoff 2024 is expected to range between 693 and 770 marks for all the UG courses. For admission to PG courses, the CUET PG cutoff marks is expected to range between 200 – 210 marks out of 300. The registration process for admission to Mata Sundri College generally starts after the declaration of CUET result. Candidates who selected Delhi University while filling out the CUET application can register themselves on the DU CSAS portal and choose [College + Course] preferences. The entire selection process is done via the DU CSAS portal for the UG & PG courses in multiple rounds. Candidates can check the seat allotment result on the CSAS dashboard. They can confirm their seat by paying the admission fee after seat allotment. The SGTB Khalsa College courses, eligibility criteria, cutoff, and admission process are discussed in the article below."
"Deshbandhu College, Delhi Admission 2024: Courses, Eligibility, Cutoff, Application Form, Last Date",https://images.collegedunia.com/public/college_data/images/appImage/1491893369cover..jpg?h=160&w=313&mode=stretch,B.Com  | B.Sc ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Deshbandhu College Delhi Admission 2024 has started. The admission process is carried out to all UG and PG courses through the centralized Delhi University Common Seat Allocation System (DU CSAS). The college accepts CUET scores as the basis of admission to both UG and PG levels, which is administered by NTA. The CUET UG is generally conducted in March and the CUET PG is conducted in the month of May/June by NTA, every year. The Deshbandhu College admission cutoff 2024 is expected to by 770+ marks for B.Com (Hons) which is the highest among all courses. For admission to the PG courses, the CUET PG cutoff marks is expected to range between 190 – 230 marks out of 300. The registration process for Deshbandhu College and other affiliated colleges of Delhi University generally starts after the declaration of the CUET result. Candidates who selected Delhi University while filling out the CUET application can register themselves on the DU CSAS portal and choose [College + Course] preferences. The entire selection process is done via the DU CSAS portal for the UG & PG courses in multiple rounds. Candidates can check the seat allotment result on the CSAS dashboard. They can confirm their seat by paying the admission fee after seat allotment. The Deshbandhu College courses, eligibility criteria, cutoff, and admission process are discussed in the article below."
