,Country,Universities Names,University Place,Tuition Fees,Living Fees,Top Course,Exam Score
26, Germany,"Technical University Munich, Munich","Bavaria, Germany",₹9L/Yr,₹14L/Yr,M.Sc. Computational Science and ...,"['TOEFL - 88', 'PTE - 65']"
27, Uk,"University of Edinburgh, Edinburgh","Scotland, Uk",₹31L/Yr,₹10L/Yr,M.Sc Data Science,"['IELTS - 7', 'PTE - 70']"
28, Singapore,"Nanyang Technological University, Singapore","Singapore, Singapore",₹12L/Yr,₹25K/Yr,M.B.A,"['GMAT - 660', 'IELTS - 6', 'PTE - 55']"
29, Usa,"University of California, San Diego","California, Usa",₹20L/Yr,₹6L/Yr,M.S Computer Science,['IELTS - 7.5']
30, Hong Kong,"The University of Hong Kong, Pokfulam","Hong Kong, Hong Kong",₹19L/Yr,₹10L/Yr,M.B.A,"['GMAT - 560', 'TOEFL - 94', 'PTE - 65']"
31, Usa,"Georgia Institute of Technology, Atlanta","Georgia, Usa",₹29L/Yr,₹64K/Yr,M.S Data Science,['IELTS - 5.5']
32, Australia,"University of Melbourne, Melbourne","Victoria, Australia",₹27L/Yr,₹1L/Yr,L.L.M,"['IELTS - 7.5', 'PTE - 75']"
33, Germany,"Ludwig Maximilian University of Munich, Munich","Bavaria, Germany",₹80K/Yr,₹6L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 65']"
34, Uk,"King's College London, London","England, Uk",₹29L/Yr,₹14L/Yr,L.L.M,"['IELTS - 7.5', 'PTE - 69']"
35, Canada,"The University of British Columbia, Vancouver","British Columbia, Canada",₹20L/Yr,₹7L/Yr,M.S Computer Engineering,['TOEFL - 90']
36, Usa,"University of Illinois, Urbana","Illinois, Usa",₹36L/Yr,₹9L/Yr,"M.S Architecture, Urbanism and B...","['GRE - 300', 'IELTS - 6.5']"
37, Uk,"London School of Economics and Political Science, London","England, Uk",₹29L/Yr,₹14L/Yr,M.S Computer Science,"['GMAT - 550', 'IELTS - 6.5', 'PTE - 59']"
38, Germany,"Heidelberg University, Heidelberg","Baden-Wurttemberg, Germany",₹2L/Yr,₹10L/Yr,M.B.A,"['GRE - 316', 'IELTS - 6.5']"
39, Netherlands,"Delft University of Technology, Delft","South Holland, Netherlands",₹18L/Yr,₹10L/Yr,M.S Computer Science,"['GMAT - 650', 'TOEFL - 79', 'PTE - 58']"
40, Canada,"McGill University, Montreal","Quebec, Canada",₹19L/Yr,₹9L/Yr,M.B.A,['TOEFL - 100']
41, Sweden,"Karolinska Institute, Stockholm","Uppland, Sweden",₹14L/Yr,₹13L/Yr,M.S Business Analytics,"['IELTS - 6.5', 'PTE - 61']"
42, Uk,"The University of Manchester, Manchester","England, Uk",₹32L/Yr,₹11L/Yr,M.S Data Science,"['GMAT - 680', 'TOEFL - 92']"
43, Usa,"University of Texas, Austin","Texas, Usa",₹34L/Yr,₹82K/Yr,M.B.A,['IELTS - 6.5']
44, Hong Kong,"Chinese University of Hong Kong, Shatin","Hong Kong, Hong Kong",₹15L/Yr,₹13L/Yr,M.S Biomedical Data Science,['IELTS - 7']
45, Australia,"Monash University, Melbourne","Victoria, Australia",₹27L/Yr,₹8L/Yr,M.S Data Science,"['GMAT - 600', 'IELTS - 6.5', 'PTE - 64']"
46, Usa,"University of California, Davis","California, Usa",₹43L/Yr,₹7L/Yr,M.B.A,"['IELTS - 7.0', 'PTE - 68']"
47, Australia,"The University of Sydney, Sydney","New South Wales, Australia",₹27L/Yr,₹12L/Yr,M.S Data Analytics and Statistic...,"['Duolingo - 120', 'TOEFL - 80']"
48, Netherlands,"University of Amsterdam, Amsterdam","North Holland, Netherlands",₹15L/Yr,₹12L/Yr,M.Sc Computer Science,"['GMAT - 550', 'TOEFL - 87', 'PTE - 64']"
49, Usa,"University of Wisconsin, Madison","Wisconsin, Usa",₹27L/Yr,₹12L/Yr,M.B.A,['TOEFL - 90']
50, Hong Kong,"The Hong Kong University of Science & Technology, Hong Kong","Hong Kong, Hong Kong",₹10L/Yr,₹9L/Yr,M.S Computer Science,"['TOEFL - 90', 'PTE - 68']"
51, Netherlands,"Wageningen University & Research, Wageningen","Gelderland, Netherlands",₹16L/Yr,₹13L/Yr,M.S Computer Science - Data Scie...,"['GRE - 300', 'TOEFL - 72']"
52, Usa,"Brown University, Providence","Rhode Island, Usa",₹58L/Yr,₹3L/Yr,M.C.S Bioinformatics and Modelin...,['IELTS - 7']
53, Australia,"Australian National University, Canberra","Australian Capital Territory , Australia",₹26L/Yr,₹89K/Yr,M.S Data Science: Computer Scien...,"['Duolingo - 115', 'TOEFL - 84']"
54, Usa,"Washington University, St. Louis","Missouri, Usa",₹48L/Yr,₹14L/Yr,M.S Computer Science,['IELTS - 6.5']
55, Usa,"University of California, Santa Barbara","California, Usa",₹37L/Yr,₹80K/Yr,M.S Artificial Intelligence,"['IELTS - 6.5', 'PTE - 67']"
56, Australia,"The University of Queensland, Brisbane","Queensland, Australia",₹23L/Yr,₹5L/Yr,M.Sc Data Science,"['GMAT - 680', 'TOEFL - 94', 'PTE - 65']"
57, Usa,"University of North Carolina, Chapel Hill","North Carolina, Usa",₹39L/Yr,₹10L/Yr,M.B.A,"['TOEFL - 79', 'PTE - 59']"
58, Usa,"University of Southern California, Los Angeles","California, Usa",₹24L/Yr,₹8L/Yr,M.S Data Science,"['GMAT - 500', 'IELTS - 7.5']"
59, France,"Sorbonne University, Paris","Ile-De-France, France",₹20K/Yr,₹9L/Yr,M.S Business Analytics and Infor...,['TOEFL - 100']
60, Netherlands,"Leiden University, Leiden","South Holland, Netherlands",₹16L/Yr,₹6L/Yr,M.S Psychology,"['GMAT - 590', 'IELTS - 6.5', 'PTE - 60']"
61, Usa,"Boston University, Boston","Massachusetts, Usa",₹57L/Yr,₹10L/Yr,M.B.A,['TOEFL - 90']
62, Netherlands,"University of Groningen, Groningen","Groningen, Netherlands",₹14L/Yr,₹77K/Yr,M.S Computer Science,"['TOEFL - 80', 'PTE - 56']"
63, Uk,"University of Bristol, Bristol","England, Uk",₹27L/Yr,₹13L/Yr,M.S Computer Science,"['GRE - 311', 'TOEFL - 100', 'PTE - 70']"
64, Hong Kong,"City University of Hong Kong, Kowloon Tong","Hong Kong, Hong Kong",₹18L/Yr,₹9L/Yr,M.S Data Science,['IELTS - 6.0']
65, Australia,"University of New South Wales, Sydney","New South Wales, Australia",₹17L/Yr,₹5L/Yr,M.S Economics and Finance,"['TOEFL - 90', 'PTE - 62']"
66, Usa,"University of Minnesota - Twin Cities, Minneapolis","Minnesota, Usa",₹34L/Yr,₹6K/Yr,M.S Computer Science,"['Duolingo - 120', 'IELTS - 6.5', 'PTE - 62']"
67, Usa,"Purdue University, West Lafayette","Indiana, Usa",₹24L/Yr,₹14L/Yr,M.B.A,"['GMAT - 600', 'IELTS - 7']"
68, Germany,"Humboldt University of Berlin, Berlin","Berlin, Germany",₹20K/Yr,₹89K/Yr,M.S Business Analytics and Manag...,"['Duolingo - 120', 'TOEFL - 79']"
69, Hong Kong,"The Hong Kong Polytechnic University, Hung Hom","Hong Kong, Hong Kong",₹18L/Yr,₹11L/Yr,M.S Computer Science and Enginee...,"['IELTS - 6.5', 'PTE - 67']"
70, Uk,"University of Glasgow, Glasgow","Scotland, Uk",₹32L/Yr,₹13L/Yr,M.Sc Data Science,['IELTS - 5.0']
71, Germany,"RWTH Aachen University, Aachen","North Rhine-Westphalia, Germany",₹2L/Yr,₹2L/Yr,"M.S Finance, Accounting and Taxa...","['TOEFL - 88', 'PTE - 60']"
72, Germany,"University of Bonn, Bonn","North Rhine-Westphalia, Germany",₹57K/Yr,₹7L/Yr,M.S Computer Science,"['GMAT - 590', 'IELTS - 6.5', 'PTE - 56']"
73, Usa,"University of California, Irvine","California, Usa",₹35L/Yr,₹10L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 62']"
74, Usa,"Vanderbilt University, Nashville","Tennessee, Usa",₹57L/Yr,₹35K/Yr,M.S Data Analytics and Business ...,"['IELTS - 6.5', 'PTE - 62']"
75, Germany,"University of Tuebingen, Tubingen","Baden-Wurttemberg, Germany",₹2L/Yr,₹84K/Yr,M.Sc Data Analytics,"['GMAT - 700', 'IELTS - 7', 'PTE - 68']"
76, Sweden,"KTH Royal Institute of Technology, Stockholm","Uppland, Sweden",₹27L/Yr,₹6L/Yr,M.S Business Analytics,"['GMAT - 550', 'TOEFL - 100', 'PTE - 68']"
77, Uk,"University of Southampton, Southampton","England, Uk",₹28L/Yr,₹9L/Yr,M.B.A,"['GMAT - 630', 'TOEFL - 85']"
78, Netherlands,"Erasmus University Rotterdam, Rotterdam","South Holland, Netherlands",₹17L/Yr,₹58K/Yr,M.S Management - Data Science an...,"['GMAT - 550', 'TOEFL - 94', 'PTE - 65']"
79, Usa,"Ohio State University, Columbus","Ohio, Usa",₹53L/Yr,₹5L/Yr,M.B.A,"['TOEFL - 96', 'PTE - 68']"
80, Uk,"University of Birmingham, Birmingham","England, Uk",₹26L/Yr,₹7L/Yr,M.S Data Science and Analytics,"['GRE - 296', 'IELTS - 7']"
81, Germany,"Free University of Berlin, Berlin","Berlin, Germany",₹15K/Yr,₹8L/Yr,M.S Business Data Science and An...,"['Duolingo - 110', 'IELTS - 6']"
82, Canada,"McMaster University, Hamilton","Ontario, Canada",₹24L/Yr,₹6L/Yr,M.S Computer Science,"['GRE - 322', 'TOEFL - 90']"
83, Uk,"University of Sheffield, Sheffield","England, Uk",₹28L/Yr,₹12L/Yr,M.C.S,['IELTS - 6.5']
84, Sweden,"Lund University, Lund","Skane, Sweden",₹7L/Yr,₹9L/Yr,M.A Data Analytics,"['GRE - 326', 'TOEFL - 80', 'PTE - 53']"
85, Uk,"University of Warwick, Coventry","England, Uk",₹29L/Yr,₹10L/Yr,M.S Computer Science,['TOEFL - 92']
86, Usa,"Emory University, Atlanta","Georgia, Usa",₹54L/Yr,₹66K/Yr,M.S Business Analytics,"['GMAT - 600', 'IELTS - 6.5', 'PTE - 59']"
87, Canada,"University of Alberta, Edmonton","Alberta, Canada",₹16L/Yr,₹8L/Yr,M.B.A,"['GRE - 320', 'IELTS - 6.5', 'PTE - 65']"
88, Canada,"University of Montreal, Montreal","Quebec, Canada",₹13L/Yr,₹8L/Yr,M.Sc Business and Management,"['GRE - 308', 'TOEFL - 90']"
89, Australia,"University of Adelaide, Adelaide","South Australia, Australia",₹25L/Yr,₹9L/Yr,M.S Computer Science,"['Duolingo - 120', 'IELTS - 7']"
90, Germany,"University of Goettingen, Gottingen","Lower Saxony, Germany",₹61K/Yr,₹8L/Yr,M.S Data Science,"['IELTS - 6.5', 'PTE - 63']"
91, Usa,"University of Maryland, College Park","Maryland, Usa",₹28L/Yr,₹12L/Yr,M.S Management,"['TOEFL - 92', 'PTE - 65']"
92, Usa,"Michigan State University, East Lansing","Michigan, Usa",₹33L/Yr,₹7L/Yr,M.Sc Artificial Intelligence,"['IELTS - 6', 'PTE - 58']"
93, Usa,"Texas A&M University, College Station","Texas, Usa",₹32L/Yr,₹14L/Yr,M.S Computer Science,['IELTS - 6.5']
94, Usa,"Rice University, Houston","Texas, Usa",₹46L/Yr,₹2L/Yr,M.S Data Science for Decision Ma...,"['IELTS - 6.5', 'PTE - 54']"
95, Usa,"Pennsylvania State University, State College","Pennsylvania, Usa",₹35L/Yr,₹11L/Yr,M.S Data Science,"['IELTS - 7', 'PTE - 68']"
96, Usa,"University of Massachusetts, Amherst","Massachusetts, Usa",₹22L/Yr,₹51K/Yr,M.S Business and Management - In...,"['IELTS - 6.5', 'PTE - 64']"
97, Netherlands,"Vrije Universiteit Amsterdam, Amsterdam","North Holland, Netherlands",₹12L/Yr,₹6L/Yr,M.S.W,"['Duolingo - 115', 'TOEFL - 90']"
98, Germany,"University of Freiburg, Freiburg","Baden-Wurttemberg, Germany",₹2L/Yr,₹11L/Yr,M.S Computer Science,"['TOEFL - 87', 'PTE - 60']"
99, Uk,"University of Leeds, Leeds","England, Uk",₹27L/Yr,₹8L/Yr,M.Sc Cyber Security,"['TOEFL - 79', 'PTE - 58']"
100, Uk,"University of Nottingham, Nottingham","England, Uk",₹27L/Yr,₹12L/Yr,M.Ed,"['IELTS - 6.5', 'PTE - 58']"
101, Usa,"University of Florida, Gainesville","Florida, Usa",₹24L/Yr,₹3L/Yr,M.I.T,"['TOEFL - 87', 'PTE - 58']"
102, Usa,"University of Rochester, Rochester","New York, Usa",₹52L/Yr,₹13L/Yr,M.Sc Business Analytics,"['TOEFL - 79', 'PTE - 60']"
103, Ireland,"Trinity College Dublin, Dublin","Dublin, Ireland",₹20L/Yr,₹9L/Yr,M.S Data Science,"['TOEFL - 90', 'PTE - 63']"
104, Uk,"Queen Mary, University of London, London","England, Uk",₹26L/Yr,₹4L/Yr,M.S Data Science and Artificial ...,['TOEFL - 92']
105, Germany,"Technical University Berlin, Berlin","Berlin, Germany",₹19K/Yr,₹12L/Yr,M.Sc Business Administration,['TOEFL - 80']
106, Germany,"University of Hamburg, Hamburg","Hamburg, Germany",₹60K/Yr,₹5L/Yr,M.S Computer Science,"['GMAT - 724', 'TOEFL - 105']"
107, Netherlands,"Maastricht University, Maastricht","Limburg, Netherlands",₹16L/Yr,₹8L/Yr,M.B.A,"['IELTS - 7', 'PTE - 61']"
108, Usa,"University of Colorado, Boulder","Colorado, Usa",₹35L/Yr,₹5L/Yr,M.S Computer Science and Data Sc...,['TOEFL - 90']
109, Germany,"Karlsruhe Institute of Technology, Karlsruhe","Baden-Wurttemberg, Germany",₹1L/Yr,₹11L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 61']"
110, Sweden,"Uppsala University, Uppsala","Uppland, Sweden",₹10L/Yr,₹15L/Yr,M.B.A,"['GMAT - 590', 'IELTS - 6.5', 'PTE - 62']"
111, Australia,"University of Western Australia, Perth","Western Australia, Australia",₹20L/Yr,₹16K/Yr,M.B.A,"['IELTS - 7', 'PTE - 102']"
112, Usa,"University of Pittsburgh, Pittsburgh","Pennsylvania, Usa",₹32L/Yr,₹10L/Yr,M.Sc Management,"['Duolingo - 120', 'IELTS - 6.5', 'PTE - 60']"
113, Uk,"University of York, York","England, Uk",₹26L/Yr,₹10L/Yr,M.C.S,"['TOEFL - 100', 'PTE - 70']"
114, Australia,"University of Technology Sydney, Sydney","New South Wales, Australia",₹12L/Yr,₹8L/Yr,M.B.A,"['IELTS - 7', 'PTE - 66']"
115, New Zealand,"University of Auckland, Auckland","North Island, New Zealand",₹26L/Yr,₹9L/Yr,M.B.A,"['Duolingo - 105', 'TOEFL - 88', 'PTE - 60']"
116, Uk,"Lancaster University, Lancaster","England, Uk",₹25L/Yr,₹13L/Yr,M.S Computer Science - Big Data ...,"['IELTS - 6.5', 'PTE - 62']"
117, Usa,"University of Arizona, Tucson","Arizona, Usa",₹36L/Yr,₹55K/Yr,"M.A Management, Organization and...",['TOEFL - 100']
118, Italy,"University of Bologna, Carpi","Basilicata, Italy",₹1L/Yr,₹14L/Yr,M.S Data Science for Public Poli...,['TOEFL - 100']
119, Canada,"University of Waterloo, Waterloo","Ontario, Canada",₹28L/Yr,₹75K/Yr,M.S Data Science and AI,"['GMAT - 600', 'IELTS - 7', 'PTE - 76']"
120, Germany,"University of Cologne, Cologne","North Rhine-Westphalia, Germany",₹44K/Yr,₹9L/Yr,M.B.A,"['TOEFL - 100', 'PTE - 68']"
121, Germany,"Technical University Dresden, Dresden","Saxony, Germany",₹23K/Yr,₹13L/Yr,M.S Data Science,['IELTS - 7']
122, Usa,"Dartmouth College, Hanover","New Hampshire, Usa",₹57L/Yr,₹4L/Yr,M.S Electrical Engineering,"['IELTS - 7', 'PTE - 65']"
123, Usa,"Case Western Reserve University, Cleveland","Ohio, Usa",₹35L/Yr,₹11L/Yr,M.Sc Computing and Information T...,"['Duolingo - 110', 'TOEFL - 80']"
124, Usa,"University of Virginia, Charlottesville","Virginia, Usa",₹36L/Yr,₹8L/Yr,M.S Data Science,"['GRE - 323', 'TOEFL - 100', 'PTE - 70']"
125, Netherlands,"Eindhoven University of Technology, Eindhoven","North Brabant, Netherlands",₹16L/Yr,₹12L/Yr,M.S Business Analytics,"['IELTS - 6.5', 'PTE - 59']"
126, Uk,"University of Liverpool, Liverpool","England, Uk",₹34L/Yr,₹7L/Yr,M.S Data Science and Analytics,"['Duolingo - 115', 'TOEFL - 92']"
127, Uk,"Newcastle University, Newcastle upon Tyne","England, Uk",₹28L/Yr,₹4L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 58']"
128, Uk,"Durham University, Durham","England, Uk",₹29L/Yr,₹54K/Yr,M.A Construction and Infrastruct...,"['TOEFL - 90', 'PTE - 60']"
129, Germany,"University of Wuerzburg, Wurzburg","Bavaria, Germany",₹27K/Yr,₹6L/Yr,M.N,"['IELTS - 6.5', 'PTE - 58']"
130, Canada,"University of Ottawa, Ottawa","Ontario, Canada",₹14L/Yr,₹25K/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 62']"
131, Uk,"University of Exeter, Exeter","England, Uk",₹28L/Yr,₹12L/Yr,M.N,['TOEFL - 100']
132, Australia,"Macquarie University, Sydney","New South Wales, Australia",₹22L/Yr,₹6L/Yr,M.S Money and Finance,"['IELTS - 6.5', 'PTE - 63']"
133, Italy,"Sapienza University of Rome, San Severo","Lazio, Italy",₹2L/Yr,₹5L/Yr,M.S Computational and Data Scien...,"['GMAT - 500', 'TOEFL - 90', 'PTE - 62']"
134, Usa,"Arizona State University, Tempe","Arizona, Usa",₹31L/Yr,₹7L/Yr,M.S Computer Science,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 67']"
135, Netherlands,"University of Twente, Enschede","Overijssel, Netherlands",₹13L/Yr,₹13K/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 60']"
136, Sweden,"Stockholm University, Stockholm","Uppland, Sweden",₹9L/Yr,₹16K/Yr,M.B.A,"['TOEFL - 80', 'PTE - 59']"
137, Germany,"University of Mannheim, Mannheim","Baden-Wurttemberg, Germany",₹2L/Yr,₹10L/Yr,M.Sc Accounting and Financial Ma...,"['IELTS - 6.5', 'PTE - 59']"
138, Usa,"Georgetown University, Washington","District Of Columbia, Usa",₹54L/Yr,₹15L/Yr,M.Sc Data Science,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 53']"
139, Sweden,"Chalmers University of Technology, Gothenburg","Bohuslan, Sweden",₹12L/Yr,₹7L/Yr,M.Sc Advanced Computer Science,"['GRE - 300', 'IELTS - 6.5', 'PTE - 54']"
140, Uk,"Cardiff University, Cardiff","Wales, Uk",₹24L/Yr,₹22L/Yr,M.S Data Science,['TOEFL - 80']
141, Usa,"Tufts University, Medford","Massachusetts, Usa",₹54L/Yr,₹10L/Yr,M.S Business Analytics,"['Duolingo - 105', 'TOEFL - 81', 'PTE - 58']"
142, Germany,"University of Muenster, Munster","North Rhine-Westphalia, Germany",₹30K/Yr,₹11L/Yr,M.S Computer Science,"['TOEFL - 83', 'PTE - 68']"
143, Germany,"Ulm University, Ulm","Baden-Wurttemberg, Germany",₹2L/Yr,₹8L/Yr,M.S Business Analytics,['TOEFL - 85']
144, Uk,"University of St Andrews, St Andrews","Scotland, Uk",₹28L/Yr,₹10L/Yr,M.S Computer Science,"['GRE - 320', 'TOEFL - 100', 'PTE - 54']"
145, Usa,"Indiana University, Bloomington","Indiana, Usa",₹33L/Yr,₹10L/Yr,M.S Computer Science,"['GRE - 314', 'IELTS - 6.0', 'PTE - 53']"
146, Australia,"Queensland University of Technology, Brisbane","Queensland, Australia",₹20L/Yr,₹13L/Yr,M.S Computer Science and Enginee...,['IELTS - 6']
147, Usa,"University of Notre Dame, Notre Dame","Indiana, Usa",₹55L/Yr,₹10L/Yr,M.S Data Science,['TOEFL - 100']
148, Canada,"University of Calgary, Calgary","Alberta, Canada",₹18L/Yr,₹6L/Yr,M.S Computer Science and Enginee...,"['GRE - 300', 'TOEFL - 93', 'PTE - 65']"
149, Canada,"Western University, London","Ontario, Canada",₹23L/Yr,₹6L/Yr,M.S Computing Science,"['GMAT - 550', 'TOEFL - 79', 'PTE - 58']"
150, Australia,"Swinburne University of Technology, Melbourne","Victoria, Australia",₹14L/Yr,₹3L/Yr,M.S Computing Science,"['TOEFL - 94', 'PTE - 65']"
151, Australia,"University of Newcastle, Newcastle","New South Wales, Australia",₹15L/Yr,₹4L/Yr,M.B.A,"['TOEFL - 72', 'PTE - 50']"
152, Australia,"Curtin University, Perth","Western Australia, Australia",₹18L/Yr,₹6L/Yr,M.S,"['IELTS - 6.5', 'PTE - 56']"
153, Australia,"University of Wollongong, Wollongong","New South Wales, Australia",₹18L/Yr,₹17K/Yr,M.S Agricultural Science,"['GMAT - 550', 'IELTS - 6.5', 'PTE - 58']"
154, Germany,"Goethe University Frankfurt, Frankfurt am Main","Hesse, Germany",₹72K/Yr,₹15K/Yr,M.B.A,['TOEFL - 90']
155, Germany,"Friedrich Schiller University Jena, Jena","Thuringia, Germany",₹42K/Yr,₹7L/Yr,M.B.A,['TOEFL - 79']
156, Germany,"University of Potsdam, Potsdam","Brandenburg, Germany",₹56K/Yr,₹6L/Yr,M.S Computer and Information Sci...,"['IELTS - 5.5', 'PTE - 42']"
157, Ireland,"University College Dublin, Belfield","Dublin, Ireland",₹21L/Yr,₹8L/Yr,M.S Accounting and Finance,"['GRE - 300', 'IELTS - 6.5', 'PTE - 62']"
158, Sweden,"University of Gothenburg, Gothenburg","Bohuslan, Sweden",₹5L/Yr,₹21L/Yr,M.S Computer Science,"['TOEFL - 88', 'PTE - 59']"
159, Uk,"University of Aberdeen, Aberdeen","Scotland, Uk",₹28L/Yr,₹17K/Yr,M.B.A Business Administration,"['IELTS - 6.5', 'PTE - 62']"
160, Uk,"Queen's University Belfast, Belfast","Northern Ireland, Uk",₹22L/Yr,₹6L/Yr,M.Sc Business Analytics,"['IELTS - 6', 'PTE - 50']"
161, Uk,"University of Reading, Berkshire","England, Uk",₹23L/Yr,₹26K/Yr,M.Sc Data Science,"['TOEFL - 88', 'PTE - 67']"
162, Uk,"University of Sussex, Brighton","England, Uk",₹23L/Yr,₹9L/Yr,M.Sc Business Analytics,"['GMAT - 660', 'IELTS - 7.5', 'PTE - 68']"
163, Uk,"University of Leicester, Leicester","England, Uk",₹22L/Yr,₹5L/Yr,M.B.A,['TOEFL - 100']
164, Usa,"Northeastern University, Boston","Massachusetts, Usa",₹44L/Yr,₹8L/Yr,M.Sc Health Informatics,['IELTS - 6']
165, Usa,"University of Illinois, Chicago","Illinois, Usa",₹28L/Yr,₹11L/Yr,M.S Accounting,"['GRE - 309', 'IELTS - 6.5']"
166, Usa,"University of Miami, Coral Gables","Florida, Usa",₹47L/Yr,₹8L/Yr,M.S Computer Science - Data Scie...,"['GRE - 295', 'IELTS - 6.5', 'PTE - 55']"
167, Usa,"University of Iowa, Iowa City","Iowa, Usa",₹24L/Yr,₹12L/Yr,M.S Robotics,"['Duolingo - 105', 'IELTS - 6.5', 'PTE - 53']"
168, Usa,"Rutgers University - New Jersey, New Brunswick","New Jersey, Usa",₹31L/Yr,₹11L/Yr,M.S Computer Science,"['TOEFL - 100', 'PTE - 68']"
169, Usa,"University of Utah, Salt Lake City","Utah, Usa",₹27L/Yr,₹8L/Yr,M.S Computer Science,"['GRE - 300', 'TOEFL - 92', 'PTE - 65']"
170, Usa,"University of California, Santa Cruz","California, Usa",₹41L/Yr,₹6L/Yr,M.S Computer Science,"['TOEFL - 60', 'PTE - 50']"
171, Usa,"George Washington University, Washington","District Of Columbia, Usa",₹50L/Yr,₹12L/Yr,M.S Finance,"['IELTS - 7', 'PTE - 94']"
172, Uae,"Abu Dhabi University, Dubai","Dubai, Uae",₹12L/Yr,₹13L/Yr,M.D Medicine and Surgery,"['TOEFL - 82', 'PTE - 58']"
