Country_Name,Universities_Name,University_Place,Fees,Top_Course,Exams_Score
Usa,"University of California, Los Angeles","California, Usa","{'Tuition': '₹31.4L/Yr\xa0($37,675/Yr)', 'Living': '₹14.29L/Yr\xa0($17,148/Yr)'}",M.S Computer Science,"GRE- 315.0, IELTS- 7.0"
Singapore,"National University of Singapore, Singapore","Singapore, Singapore","{'Tuition': '₹21.12L/Yr\xa0(S$34,212/Yr)', 'Living': '₹2.88L/Yr\xa0(S$4,662/Yr)'}",M.Sc. Data Science and Machine L...,TOEFL- 85.0
Usa,"Cornell University, Ithaca","New York, Usa","{'Tuition': '₹44.26L/Yr\xa0($53,106/Yr)', 'Living': '₹8.86L/Yr\xa0($10,635/Yr)'}",M.B.A,"GMAT- 710.0, IELTS- 7.0"
Canada,"University of Toronto, Toronto","Ontario, Canada","{'Tuition': '₹34.63L/Yr\xa0(CA$56,505/Yr)', 'Living': '₹13.57L/Yr\xa0(CA$22,145/Yr)'}",M.S Computer Science,TOEFL- 93.0
Uk,"University College London, London","England, Uk","{'Tuition': '₹33.57L/Yr\xa0(£31,828/Yr)', 'Living': '₹18.97L/Yr\xa0(£17,981/Yr)'}",M.B.A,"Duolingo- 115.0, IELTS- 6.5, PTE- 75.0"
Usa,"University of Michigan, Ann Arbor","Michigan, Usa","{'Tuition': '₹47.02L/Yr\xa0($56,418/Yr)', 'Living': '₹10.03L/Yr\xa0($12,034/Yr)'}",M.S Data Science,IELTS- 6.5
Usa,"Carnegie Mellon University, Pittsburgh","Pennsylvania, Usa","{'Tuition': '₹45.52L/Yr\xa0($54,623/Yr)', 'Living': '₹11.49L/Yr\xa0($13,784/Yr)'}",M.S Computer Science,IELTS- 7.5
Usa,"University of Washington, Seattle","Washington, Usa","{'Tuition': '₹31.69L/Yr\xa0($38,028/Yr)', 'Living': '₹10.1L/Yr\xa0($12,117/Yr)'}",M.S Data Science,"Duolingo- 125.0, TOEFL- 106.0"
Usa,"Duke University, Durham","North Carolina, Usa","{'Tuition': '₹52.68L/Yr\xa0($63,214/Yr)', 'Living': '₹14.28L/Yr\xa0($17,138/Yr)'}",Master Interdisciplinary Data Sc...,"Duolingo- 115.0, IELTS- 7.0"
Usa,"New York University, New York City","New York, Usa","{'Tuition': '₹49.54L/Yr\xa0($59,449/Yr)', 'Living': '₹7.95L/Yr\xa0($9,536/Yr)'}",M.S Data Science,TOEFL- 100.0
Usa,"Northwestern University, Evanston","Illinois, Usa","{'Tuition': '₹55.44L/Yr\xa0($66,528/Yr)', 'Living': '₹13.37L/Yr\xa0($16,047/Yr)'}",M.S Project Management,IELTS- 7.0
Germany,"Technical University Munich, Munich","Bavaria, Germany","{'Tuition': '₹9.2L/Yr\xa0(€10,155/Yr)', 'Living': '₹14.48L/Yr\xa0(€15,984/Yr)'}",M.Sc. Computational Science and ...,"TOEFL- 88.0, PTE- 65.0"
Uk,"University of Edinburgh, Edinburgh","Scotland, Uk","{'Tuition': '₹31.88L/Yr\xa0(£30,220/Yr)', 'Living': '₹10.5L/Yr\xa0(£9,950/Yr)'}",M.Sc Data Science,"IELTS- 7.0, PTE- 70.0"
Singapore,"Nanyang Technological University, Singapore","Singapore, Singapore","{'Tuition': '₹12.67L/Yr\xa0(S$20,530/Yr)', 'Living': '₹25.9K/Yr\xa0(S$420/Yr)'}",M.B.A,"GMAT- 660.0, IELTS- 6.0, PTE- 55.0"
Usa,"University of California, San Diego","California, Usa","{'Tuition': '₹17.87L/Yr\xa0($21,442/Yr)'}",M.S Data Science,"IELTS- 7.0, PTE- 65.0"
Hong Kong,"The University of Hong Kong, Pokfulam","Hong Kong, Hong Kong","{'Tuition': '₹19.36L/Yr\xa0(HK$182,000/Yr)'}",M.S Computer Science,"IELTS- 6.5, PTE- 64.0"
Usa,"Georgia Institute of Technology, Atlanta","Georgia, Usa","{'Tuition': '₹26.1L/Yr\xa0($31,321/Yr)', 'Living': '₹6.69L/Yr\xa0($8,032/Yr)'}",M.S Computer Science,IELTS- 7.5
Australia,"University of Melbourne, Melbourne","Victoria, Australia","{'Tuition': '₹27.64L/Yr\xa0(A$50,406/Yr)', 'Living': '₹10.97L/Yr\xa0(A$20,000/Yr)'}",M.B.A,"GMAT- 560.0, TOEFL- 94.0, PTE- 65.0"
Germany,"Ludwig Maximilian University of Munich, Munich","Bavaria, Germany","{'Tuition': '₹81.6K/Yr\xa0(€901/Yr)', 'Living': '₹65.7K/Yr\xa0(€725/Yr)'}",M.S Data Science,IELTS- 5.5
Uk,"King's College London, London","England, Uk","{'Tuition': '₹29.09L/Yr\xa0(£27,573/Yr)', 'Living': '₹1.33L/Yr\xa0(£1,265/Yr)'}",L.L.M,"IELTS- 7.5, PTE- 75.0"
Canada,"The University of British Columbia, Vancouver","British Columbia, Canada","{'Tuition': '₹20.56L/Yr\xa0(CA$33,543/Yr)', 'Living': '₹6.96L/Yr\xa0(CA$11,353/Yr)'}",M.S Computer Science,"IELTS- 6.5, PTE- 65.0"
Usa,"University of Illinois, Urbana","Illinois, Usa","{'Tuition': '₹34.61L/Yr\xa0($41,528/Yr)'}",M.S Computer Science,TOEFL- 104.0
Uk,"London School of Economics and Political Science, London","England, Uk","{'Tuition': '₹31.54L/Yr\xa0(£29,903/Yr)', 'Living': '₹14.15L/Yr\xa0(£13,416/Yr)'}",L.L.M,"IELTS- 7.5, PTE- 69.0"
Germany,"Heidelberg University, Heidelberg","Baden-Wurttemberg, Germany","{'Tuition': '₹2.82L/Yr\xa0(€3,114/Yr)', 'Living': '₹7.23L/Yr\xa0(€7,978/Yr)'}",M.S Computer Engineering,IELTS- 6.5
Netherlands,"Delft University of Technology, Delft","South Holland, Netherlands","{'Tuition': '₹19.09L/Yr\xa0(€21,078/Yr)', 'Living': '₹9.24L/Yr\xa0(€10,200/Yr)'}","M.S Architecture, Urbanism and B...",TOEFL- 90.0
Canada,"McGill University, Montreal","Quebec, Canada","{'Tuition': '₹19.24L/Yr\xa0(CA$31,400/Yr)', 'Living': '₹14.73L/Yr\xa0(CA$24,045/Yr)'}",M.S Computer Science,"GRE- 300.0, IELTS- 6.5"
Sweden,"Karolinska Institute, Stockholm","Uppland, Sweden","{'Tuition': '₹14.6L/Yr\xa0(kr186,500/Yr)'}",M.S Bioentrepreneurship,"IELTS- 6.5, PTE- 62.0"
Uk,"The University of Manchester, Manchester","England, Uk","{'Tuition': '₹32.29L/Yr\xa0(£30,611/Yr)', 'Living': '₹10.87L/Yr\xa0(£10,300/Yr)'}",M.B.A,"GMAT- 550.0, IELTS- 6.5, PTE- 59.0"
Usa,"University of Texas, Austin","Texas, Usa","{'Tuition': '₹32.6L/Yr\xa0($39,113/Yr)', 'Living': '₹10.24L/Yr\xa0($12,286/Yr)'}",M.S Computer Science,"GRE- 316.0, IELTS- 6.5"
Hong Kong,"Chinese University of Hong Kong, Shatin","Hong Kong, Hong Kong","{'Tuition': '₹6.2L/Yr\xa0(HK$58,279/Yr)'}",M.B.A,TOEFL- 79.0
Australia,"Monash University, Melbourne","Victoria, Australia","{'Tuition': '₹27.13L/Yr\xa0(A$49,483/Yr)', 'Living': '₹9.68L/Yr\xa0(A$17,660/Yr)'}",M.B.A,"GMAT- 650.0, TOEFL- 79.0, PTE- 58.0"
Usa,"University of California, Davis","California, Usa","{'Tuition': '₹40.53L/Yr\xa0($48,636/Yr)', 'Living': '₹13.45L/Yr\xa0($16,136/Yr)'}",M.S Business Analytics,TOEFL- 100.0
Australia,"The University of Sydney, Sydney","New South Wales, Australia","{'Tuition': '₹27.52L/Yr\xa0(A$50,194/Yr)', 'Living': '₹11.13L/Yr\xa0(A$20,298/Yr)'}",M.S Data Science,"IELTS- 6.5, PTE- 61.0"
Netherlands,"University of Amsterdam, Amsterdam","North Holland, Netherlands","{'Tuition': '₹24.02L/Yr\xa0(€26,518/Yr)', 'Living': '₹83.8K/Yr\xa0(€925/Yr)'}",M.B.A,"GMAT- 680.0, TOEFL- 92.0"
Usa,"University of Wisconsin, Madison","Wisconsin, Usa","{'Tuition': '₹26.78L/Yr\xa0($32,132/Yr)', 'Living': '₹13.21L/Yr\xa0($15,849/Yr)'}",M.S Biomedical Data Science,IELTS- 6.5
