exam_name,full_form,Exam Category,application_form_date,examination_date,result_date,Logo_Img_links,Mode_of_exam,detail_text
NIOS Class X Board,NIOS Board Class X Exam,class-10-exams,,,,https://images.collegedunia.com/public/college_data/images/logos/NIOS-Logo.png?h=66&w=66&mode=stretch,Written Test,
GBSHSE Class X Board,Goa Board Class X Exam,class-10-exams,01 Apr 23-22 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/board_logo.jpg?h=66&w=66&mode=stretch,Written Test,
UP Class X Board,UPMSP Class X Board,class-10-exams,16 Feb 23-03 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/up-board-logo-uttar-pradesh.jpg?h=66&w=66&mode=stretch,Written Test,
Punjab Class X Board,Punjab Board Class X Exam,class-10-exams,24 Mar 23-20 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/175px-Punjab_School_Education_Board_(logo).jpg?h=66&w=66&mode=stretch,Written Test,
Gujarat Class X Board,Gujarat Board Class X Exam,class-10-exams,14 Mar 23-28 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/gujarat-Board-logo.png?h=66&w=66&mode=stretch,Written Test,
Nagaland Class X Board,Nagaland Board Class X Exam,class-10-exams,10 Mar 23-22 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/naga logo.jpg?h=66&w=66&mode=stretch,Written Test,
UK Board Class X Exam,Uttarakhand Board of School Education,class-10-exams,17 Mar 23-06 Apr 23,,,,Written Test,
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,Hotel Management,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
NCHMCT JEE,National Council for Hotel Management and Catering Technology Joint Entrance Examination,Hotel Management,02 Feb 24-02 May 24,14-May-24,7-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/nchmct-logo.jpg?h=66&w=66&mode=stretch,Online Test,
UKSEE,Uttarakhand State Entrance Exam,Hotel Management,12 Jul 23-19 Jun 23,18-Jul-23,25-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/uksee logo.png?h=66&w=66&mode=stretch,Written Test,"UKSEE is a state level exam which offers various courses such as B.Pharm, Bachelor of Hotel Management (BHMCT), M.C.A, and lateral entry"
CUET,Common Universities Entrance Test,Hotel Management,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
CUET PG,Common Universities Entrance Test Post Graduate,Hotel Management,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,Online Test,
MAH BHMCT CET,Maharashtra Hotel Management Common Entrance Test,Hotel Management,27 Mar 23-20 Apr 23,24-Apr-23,18-May-23,https://images.collegedunia.com/public/college_data/images/logos/logo-875.jpg?h=66&w=66&mode=stretch,Online Test,
AIHMCT WAT,Army Institute of Hotel Management and Catering Technology WAT,Hotel Management,20 Feb 24-20 Apr 24,30-Apr-24,19-May-24,https://images.collegedunia.com/public/college_data/images/logos/aihmlogo@2x1.png?h=66&w=66&mode=stretch,Online Test,
LPUNEST,LPU National Entrance and Scholarship Test,Hotel Management,20 Sept 23-16 Jan 24,20 Jan 24-05 Feb 24,,https://images.collegedunia.com/public/college_data/images/logos/LPU logo.png?h=66&w=66&mode=stretch,Online Test,LPUNEST is admission test for the LPU University
AIMA UGAT,All India Management Association Under Graduate Aptitude Test,Hotel Management,14 Jun 24-31 Jan 24,17-Jun-24,,https://images.collegedunia.com/public/college_data/images/logos/AIMA LOGO.png?h=66&w=66&mode=stretch,Online Test,
Q Care,Quantum University Entrance Test,Hotel Management,1-Feb-24,15-Feb-24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/1519895421QULogo1.png?h=66&w=66&mode=stretch,Written Test,"Q Care Test is  All India Level Entrance cum Scholarship Test, conducted by Quantum University for UG courses"
WBJEE JEHOM,WBJEE JEHOM,Hotel Management,13 Feb 22-27 Feb 22,10-May-22,5-Jun-22,https://images.collegedunia.com/public/college_data/images/logos/wbjee logo.jpg?h=66&w=66&mode=stretch,Written Test,
SAAT,Siksha O Anusandhan University Admission Test,Hotel Management,01 Feb 23-01 Mar 23,13-Mar-23,,https://images.collegedunia.com/public/college_data/images/logos/SAAT.png?h=66&w=66&mode=stretch,Online Test,SAAT is a National level exam conducted for admission into various UG and PG courses
UPCET,Uttar Pradesh Combined Entrance Test,Hotel Management,01 Apr 23-26 May 23,2-Jul-23,8-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/images (1).jpg?h=66&w=66&mode=stretch,Online Test,
VEE,Vels Entrance Examination,Hotel Management,01 Mar 23-01 Jun 23,1-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/VELS.jpg?h=66&w=66&mode=stretch,Written Test,VEE is a qualifying entrance exam for admission to UG and PG programs offered by VELS University Chennai
GNIHM JET,Guru Nanak Institute of Hotel Management Joint Entrance Test,Hotel Management,18-May-23,,,https://images.collegedunia.com/public/college_data/images/logos/logo-new.png?h=66&w=66&mode=stretch,Written Test,
GVSAT,Suresh Gyan Vihar University Entrance Exam,Hotel Management,27 Mar 23-28 Jun 23,30-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/SVHU.png?h=66&w=66&mode=stretch,Online Test,GVSAT is a state level entrance exam conducted for admissions to various B.Tech courses
MAH MHMCT CET,Maharashtra Master of Hotel Management and Catering Technology Common Entrance Test,Hotel Management,05 Apr 24-24 Apr 24,30-Apr-24,19-May-24,https://images.collegedunia.com/public/college_data/images/logos/images (1).png?h=66&w=66&mode=stretch,Online Test,
MP Counselling,Madhya Pradesh Counselling,Hotel Management,,,,https://images.collegedunia.com/public/college_data/images/logos/MP Counselling Logo.jpg?h=66&w=66&mode=stretch,Written Test,
KEAM,Kerala Engineering Agricultural Medical Entrance Examination,Agriculture,04 May 24-18 Mar 24,17-May-24,31-May-24,https://images.collegedunia.com/public/college_data/images/logos/1430472788Government_of_kerela (1).jpg?h=66&w=66&mode=stretch,Written Test,"KEAM is a state level exam conducted by the Commissioner of Entrance Examination (CEE), Kerala, for admission into the UG Engineering programs."
KCET,Karnataka Common Entrance Test,Agriculture,08 May 24-02 Mar 24,21-May-24,15-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/KCET.jpg?h=66&w=66&mode=stretch,Written Test,"KCET is a state-level exam, conducted for admission to Engineering and B.Pharma courses"
JCECE,Jharkhand Combined Entrance Competitive Examination,Agriculture,29 May 24-20 Jun 24,9-Jul-24,,https://images.collegedunia.com/public/college_data/images/logos/jcece logo.jpg?h=66&w=66&mode=stretch,Written Test,"JCECE is an entrance exam for admission to B.Tech (Dairy Technology, Agriculture Engineering), B.Sc. Agriculture, B.V.Sc. & Animal Husbandry"
CUSAT CAT,Cochin University of Science and Technology Common Admission test,Agriculture,27 Jan 23-26 Feb 23,1-May-23,,https://images.collegedunia.com/public/college_data/images/logos/cusatlogo.png?h=66&w=66&mode=stretch,Online Test,"CUSAT CAT is national level exam, conducted for admission to B.Tech, M.Tech, M.Phil, M.Voc, MCA, MBA, MA, M.Sc, LLB, BBA programs"
BHU UET,Banaras Hindu University Undergraduate Entrance Test,Agriculture,19 May 24-09 Feb 24,21 May 24-11 Jun 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,Online Test,
Tripura JEE,Tripura Joint Entrance Examination,Agriculture,01 Feb 24-18 Apr 24,25-Apr-24,12-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/TRIPURA-JEE.jpg?h=66&w=66&mode=stretch,Written Test,Tripura JEE is a state level exam to admission in undergraduate and other  professional courses
OUAT,Orissa University of Agriculture and Technology,Agriculture,06 Apr 23-09 May 23,23-Jun-23,21-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/OUAT Logo.png?h=66&w=66&mode=stretch,Written Test,OUAT Entrance Exam is a university level exam for UG programs and Agro-Polytechnic program
CUET,Common Universities Entrance Test,Agriculture,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
HORTICET,Horticulture Common Entrance Test,Agriculture,05 Jun 23-03 Sept 23,24-Sep-23,5-Oct-23,https://images.collegedunia.com/public/college_data/images/logos/logo_9063_1452061991_1.png?h=66&w=66&mode=stretch,Written Test,
CG PAT,Chhattisgarh Pre Agriculture Test,Agriculture,26 May 23-16 Jun 23,2-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/main.jpg?h=66&w=66&mode=stretch,Written Test,
AJEE,AISECT Joint Entrance Exam,Agriculture,01 Apr 24-28 Apr 24,30-Apr-24,7-May-24,https://images.collegedunia.com/public/college_data/images/logos/ajeebannerimg.jpg?h=66&w=66&mode=stretch,Online Test,"AJEE is a national level entrance exam conducted by AISECT University,  for admission to various UG and PG courses"
UPCATET,Uttar Pradesh Combined Agriculture and Technology Entrance Test,Agriculture,01 Mar 23-05 May 23,31-May-23,15-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/logo.jpeg?h=66&w=66&mode=stretch,Written Test,"UPCATET entrance exam is conducted for admission into various UG, PG and Ph.D. courses"
VSAT,Vignan Scholastic Aptitude Test,Agriculture,06 Jan 23-30 Apr 23,15 May 23-21 May 23,,https://images.collegedunia.com/public/college_data/images/logos/vignan-s-scholastic-aptitude-test-vsat-2017.png?h=66&w=66&mode=stretch,Online Test,VSAT exam conducted by Vignan’s University in the state of Andhra Pradesh for admission in the B.Tech course
BIHAR ITICAT,Bihar  Industrial Training Institute Competitive Admission Test,Agriculture,15 Apr 24-20 May 24,18-Jun-24,2-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BIHAR.png?h=66&w=66&mode=stretch,Written Test,BIHAR ITICAT is conducted for admission in ITI courses in various Bihar Government colleges and Institute
ITM NEST,ITM National Entrance and Scholarship Test,Agriculture,21 Feb 23-21 Apr 23,11-May-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/itm nest logo.png?h=66&w=66&mode=stretch,Online Test,ITM NEST is a common entrance examination for admission to various programs offered by ITM University Gwalior
BHU PET,Banaras Hindu University Postgraduate Entrance Test,Agriculture,20 Mar 24-03 Jun 24,05 Jun 24-12 Jun 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,Online Test,"BHU PET is University Level Post Graduation Entrance Exam conducted by Banaras Hindu University in Varanasi, Uttar Pradesh, for admission to General, Professional, Special and Vocational Courses"
CUET PG,Common Universities Entrance Test Post Graduate,Agriculture,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,Online Test,
SAAT,Siksha O Anusandhan University Admission Test,Agriculture,01 Feb 23-01 Mar 23,13-Mar-23,,https://images.collegedunia.com/public/college_data/images/logos/SAAT.png?h=66&w=66&mode=stretch,Online Test,SAAT is a National level exam conducted for admission into various UG and PG courses
Allahabad University PGAT,Allahabad University Post Graduate Admission Test,Agriculture,25 Apr 24-20 May 24,02 Jun 24-05 Jun 24,,https://images.collegedunia.com/public/college_data/images/logos/Allahabad-University.png?h=66&w=66&mode=stretch,Online Test,Allahabad University PGAT is state level exam conducted for admissions to various postgraduate courses
MCAER PG CET,Maharashtra Council of Agriculture Education and Research Common Entrance Test,Agriculture,12 Jul 23-19 Apr 23,22 Jul 23-24 Jul 23,,https://images.collegedunia.com/public/college_data/images/logos/mcaer logo.PNG?h=66&w=66&mode=stretch,Written Test,"MAUEB conducts the entrance exam MCAER PG CET,  for admission to various Post Graduate Programs"
JNU CEEB,Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,Agriculture,01 Mar 23-03 Apr 23,23-Apr-23,26-May-23,https://images.collegedunia.com/public/college_data/images/logos/NTA-Logo.png?h=66&w=66&mode=stretch,Online Test,"JNU CEEB is a University Level Entrance exam, conducted for admission in various Postgraduate programs"
NEET,National Eligibility Cum Entrance Test,paramedical,06 Mar 24-04 May 24,5-May-24,13-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/NTA- Logo.png?h=66&w=66&mode=stretch,Written Test,NEET is a National Eligibility cum Entrance Test conducted by NTA i.e. National Testing Agency.
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,paramedical,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
GCET,Goa Common Entrance Test,paramedical,02 Feb 23-27 Feb 23,14-May-23,12-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/1425965876gcet-logo1.jpg?h=66&w=66&mode=stretch,Written Test,"GCET is a state level offline entrance examination for admissions to Professional Degree courses in Engineering and Pharmacy, in the state of Goa"
AIIMS PG,All India Institute Of Medical Sciences Post Graduate,paramedical,,,,https://images.collegedunia.com/public/college_data/images/logos/AIIMS MBBS.png?h=66&w=66&mode=stretch,Online Test,
IUET,Integral University Entrance Test,paramedical,21 Feb 23-16 Mar 23,19 Aug 23-10 Sept 23,,https://images.collegedunia.com/public/college_data/images/logos/01-1427877734-31-1427784268-27-integraluniversity.jpg?h=66&w=66&mode=stretch,Written Test,IUET is a state level entrance exam for admission into U.G. and PG. Programmes
PESSAT,PES Scholastic Aptitude Test,paramedical,20 Oct 22-16 May 23,17 May 23-05 Jun 23,8-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/pessat.jpeg?h=66&w=66&mode=stretch,Online Test,"PESSAT is a university level exam, conducted by PES University, Bangalore every year for admission to UG and PG programs"
CUET,Common Universities Entrance Test,paramedical,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
IGNOU OPENNET,IGNOU BSC NURSING ENTRANCE TEST,paramedical,25 Mar 23-04 May 23,8-May-23,3-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/IGNOU.png?h=66&w=66&mode=stretch,Written Test,
MET,Manipal Entrance Test,paramedical,13 Oct 23-15 Apr 24,28 Apr 24-30 Apr 24,,https://images.collegedunia.com/public/college_data/images/logos/MU OET Logo.png?h=66&w=66&mode=stretch,Online Test,MET is a university-level exam for admission to various UG and PG degree programs
SAAT,Siksha O Anusandhan University Admission Test,paramedical,01 Feb 23-01 Mar 23,13-Mar-23,,https://images.collegedunia.com/public/college_data/images/logos/SAAT.png?h=66&w=66&mode=stretch,Online Test,SAAT is a National level exam conducted for admission into various UG and PG courses
AIIMS MSc,AIIMS MSc Entrance Examination,paramedical,15 Feb 24-20 Mar 24,17-Jun-24,,https://images.collegedunia.com/public/college_data/images/logos/AIIMS MBBS.png?h=66&w=66&mode=stretch,Online Test,
DSAT,Dayanand Sagar Admission Test,paramedical,18 Dec 22-20 May 23,24-May-23,,https://images.collegedunia.com/public/college_data/images/logos/dsat logo.png?h=66&w=66&mode=stretch,Online Test,"DSAT is a university level entrance exam organized by Dayanand Sagar University, conducted for admission to various UG and PG program in DSU"
WBJEE JENPAS UG,Joint Entrance Test for Nursing Paramedical and Allied Sciences Undergraduate Course,paramedical,11 Jan 24-02 Jun 24,11-Jun-24,18-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/FileHandler.jpg?h=66&w=66&mode=stretch,Written Test,
ITM NEST,ITM National Entrance and Scholarship Test,paramedical,21 Feb 23-21 Apr 23,11-May-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/itm nest logo.png?h=66&w=66&mode=stretch,Online Test,ITM NEST is a common entrance examination for admission to various programs offered by ITM University Gwalior
RUET,Rama University Entrance Test,paramedical,22 Apr 23-14 Jul 23,4-Aug-23,1-Sep-23,https://images.collegedunia.com/public/college_data/images/logos/RUET.png?h=66&w=66&mode=stretch,Written Test,"RUET is an university level entance exam, conducted for admission in various UG, PG and P.hd courses"
AUAT,Aliah University Admission Test,paramedical,08 May 24-14 Jun 24,02 Jul 24-30 Jul 24,1-Aug-24,https://images.collegedunia.com/public/college_data/images/logos/AUAT Logo.png?h=66&w=66&mode=stretch,Written Test,"AUAT  is a national level entrance exam conducted by Aliah University for admission to various UG, PG and five-year integrated courses"
ABVMU CNET,ABVMU CNET,paramedical,,,,https://images.collegedunia.com/public/college_data/images/logos/UOPlogo.png?h=66&w=66&mode=stretch,Online Test,
KEAM,Kerala Engineering Agricultural Medical Entrance Examination,veterinary-sciences,18 Mar 24-04 May 24,17-May-24,31-May-24,https://images.collegedunia.com/public/college_data/images/logos/1430472788Government_of_kerela (1).jpg?h=66&w=66&mode=stretch,Written Test,"KEAM is a state level exam conducted by the Commissioner of Entrance Examination (CEE), Kerala, for admission into the UG Engineering programs."
KCET,Karnataka Common Entrance Test,veterinary-sciences,02 Mar 24-08 May 24,21-May-24,15-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/KCET.jpg?h=66&w=66&mode=stretch,Written Test,"KCET is a state-level exam, conducted for admission to Engineering and B.Pharma courses"
JCECE,Jharkhand Combined Entrance Competitive Examination,veterinary-sciences,29 May 24-20 Jun 24,9-Jul-24,,https://images.collegedunia.com/public/college_data/images/logos/jcece logo.jpg?h=66&w=66&mode=stretch,Written Test,"JCECE is an entrance exam for admission to B.Tech (Dairy Technology, Agriculture Engineering), B.Sc. Agriculture, B.V.Sc. & Animal Husbandry"
BHU UET,Banaras Hindu University Undergraduate Entrance Test,veterinary-sciences,09 Feb 24-19 May 24,21 May 24-11 Jun 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,Online Test,
Tripura JEE,Tripura Joint Entrance Examination,veterinary-sciences,18 Apr 24-01 Feb 24,25-Apr-24,12-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/TRIPURA-JEE.jpg?h=66&w=66&mode=stretch,Written Test,Tripura JEE is a state level exam to admission in undergraduate and other  professional courses
UP Veterinary Entrance Exam,UP Veterinary Entrance Exam,veterinary-sciences,01 Apr 24-07 Jun 24,26-Nov-24,29-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/UP.jpeg?h=66&w=66&mode=stretch,Written Test,
MP Vyapam DAHET,MP Vyapam Diploma in Animal Husbandry  Entrance Test,veterinary-sciences,07 Sept 22-28 Sept 22,28-Oct-23,,https://images.collegedunia.com/public/college_data/images/logos/mp-vyapam-sseo-syllabus.jpg?h=66&w=66&mode=stretch,Online Test,
UPCATET,Uttar Pradesh Combined Agriculture and Technology Entrance Test,veterinary-sciences,01 Mar 23-05 May 23,31-May-23,15-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/logo.jpeg?h=66&w=66&mode=stretch,Written Test,"UPCATET entrance exam is conducted for admission into various UG, PG and Ph.D. courses"
GAT B,Graduate Aptitude Test Biotechnology,veterinary-sciences,10 Mar 24-05 Apr 24,13-May-24,10-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/GATB.png?h=66&w=66&mode=stretch,Online Test,
OUAT,Orissa University of Agriculture and Technology,veterinary-sciences,06 Apr 23-09 May 23,23-Jun-23,21-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/OUAT Logo.png?h=66&w=66&mode=stretch,Written Test,OUAT Entrance Exam is a university level exam for UG programs and Agro-Polytechnic program
AAU VET,Assam Agricultural University Veterinary Entrance Test,veterinary-sciences,24 Jun 23-15 Jul 23,6-Aug-23,,https://images.collegedunia.com/public/college_data/images/logos/AAU VET.jpg?h=66&w=66&mode=stretch,Written Test,
RPVT,Rajasthan Pre University Veterinary Test,veterinary-sciences,08 Jul 23-31 Jul 23,11-Sep-23,29-Sep-23,https://images.collegedunia.com/public/college_data/images/logos/RUVAS.png?h=66&w=66&mode=stretch,Written Test,
JNU CEEB,Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,veterinary-sciences,01 Mar 23-03 Apr 23,23-Apr-23,26-May-23,https://images.collegedunia.com/public/college_data/images/logos/NTA-Logo.png?h=66&w=66&mode=stretch,Online Test,"JNU CEEB is a University Level Entrance exam, conducted for admission in various Postgraduate programs"
UGMAC,Bihar Under Graduate Medical Admission Counselling,veterinary-sciences,,,,https://images.collegedunia.com/public/college_data/images/logos/Screenshot 2023-08-04 at 5.13.15 PM.png?h=66&w=66&mode=stretch,Written Test,
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,Mass-Communication,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
CUET,Common Universities Entrance Test,Mass-Communication,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
GNIHM JET,Guru Nanak Institute of Hotel Management Joint Entrance Test,Mass-Communication,18-May-23,,,https://images.collegedunia.com/public/college_data/images/logos/logo-new.png?h=66&w=66&mode=stretch,Written Test,
DAVV CET,Devi Ahilya Vishwavidyalaya Common Entrance Test,Mass-Communication,21 May 24-30 Jun 24,,,https://images.collegedunia.com/public/college_data/images/logos/Devi_Ahilya_Vishwavidyalaya_Logo.png?h=66&w=66&mode=stretch,Online Test,Devi Ahilya Vishwavidyalaya conducts DAVV CET exam for admission to its UG & PG courses
KIITEE,Kalinga Institute of Industrial Technology Entrance Exam,Mass-Communication,02 Sept 23-15 Apr 24,19 Jan 24-21 Jan 24,25-Jan-24,https://images.collegedunia.com/public/college_data/images/logos/kiit-entrance-exam.png.jpg?h=66&w=66&mode=stretch,Online Test,"KIITEE is conducted by KIIT for admission to UG, PG engineering and law courses"
FTII Entrance Exam,Film and Television Institute of India Entrance Exam,Mass-Communication,10 Mar 23-03 Feb 23,19-Mar-23,12-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/FTII.png?h=66&w=66&mode=stretch,Written Test,
CUET PG,Common Universities Entrance Test Post Graduate,Mass-Communication,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,Online Test,
IIMC,Indian Institute of Mass Communication,Mass-Communication,02 May 23-09 Jun 23,18-Jun-23,30-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/IIMC logo.jpg?h=66&w=66&mode=stretch,Written Test,
XIC OET,Xavier Institute of Communication Online Entrance Test,Mass-Communication,07 Apr 23-15 Mar 23,10-Apr-23,,https://images.collegedunia.com/public/college_data/images/logos/lli_323.png?h=66&w=66&mode=stretch,Online Test,"XIC OET is an entrance test being conducted by Xavier’s Institute of Communications, Mumbai, for admission to various PG courses being offered by it in the field of mass communication"
ACJ Entrance Exam,Asian College of Journalism Entrance Exam,Mass-Communication,01 Feb 24-31 May 24,4-Jun-24,,https://images.collegedunia.com/public/college_data/images/logos/ACJ Logo.png?h=66&w=66&mode=stretch,Online Test,
SUAT,Sharda University Admission Test,Mass-Communication,03 Jan 23-02 Jun 23,18-Jun-23,17-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/SUAT LOGO.jpg?h=66&w=66&mode=stretch,Online Test,"SUAT is an university level exam, conducted by Sharda University for admission to courses such as B.Tech., BCA, MCA, B.Tech"
NTA PhD Entrance Exam,NTA PhD Entrance Exam,Mass-Communication,,,,https://images.collegedunia.com/public/college_data/images/logos/NTA Logo.jpg?h=66&w=66&mode=stretch,Online Test,
UUEE,Uttaranchal University Entrance Examination,Mass-Communication,16 Jan 23-10 Jul 23,15-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/uu logo.jpg?h=66&w=66&mode=stretch,Written Test,UUEE is a university level examination supervised by Uttaranchal University (UU). Students seeking admissions in UG and PG courses can apply for UUEE.
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,vocational-courses,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
CUSAT CAT,Cochin University of Science and Technology Common Admission test,vocational-courses,27 Jan 23-26 Feb 23,1-May-23,,https://images.collegedunia.com/public/college_data/images/logos/cusatlogo.png?h=66&w=66&mode=stretch,Online Test,"CUSAT CAT is national level exam, conducted for admission to B.Tech, M.Tech, M.Phil, M.Voc, MCA, MBA, MA, M.Sc, LLB, BBA programs"
BHU UET,Banaras Hindu University Undergraduate Entrance Test,vocational-courses,09 Feb 24-19 May 24,21 May 24-11 Jun 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,Online Test,
AIEED,All India Entrance Examination for Design,vocational-courses,10 Nov 23-25 Jun 24,21 Dec 23-30 Jun 24,,https://images.collegedunia.com/public/college_data/images/logos/1415109202download.jpg?h=66&w=66&mode=stretch,Online Test,
CUET,Common Universities Entrance Test,vocational-courses,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,
CUET PG,Common Universities Entrance Test Post Graduate,vocational-courses,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,Online Test,
Allahabad University PGAT,Allahabad University Post Graduate Admission Test,vocational-courses,25 Apr 24-20 May 24,02 Jun 24-05 Jun 24,,https://images.collegedunia.com/public/college_data/images/logos/Allahabad-University.png?h=66&w=66&mode=stretch,Online Test,"BHU PET is University Level Post Graduation Entrance Exam conducted by Banaras Hindu University in Varanasi, Uttar Pradesh, for admission to General, Professional, Special and Vocational Courses"
AP POLYCET,Andhra Pradesh Polytechnic Common Entrance Test,vocational-courses,16 Feb 24-30 Apr 24,10-May-24,20-May-24,https://images.collegedunia.com/public/college_data/images/logos/ Polycet.png?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
BHU PET,Banaras Hindu University Postgraduate Entrance Test,vocational-courses,03 Jun 24-20 Mar 24,05 Jun 24-12 Jun 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,Written Test,AP POLYCET is a state level exam for admission to government aided and private unaided Polytechnic institutions in the state Andhra Pradesh
UPCET,Uttar Pradesh Combined Entrance Test,vocational-courses,01 Apr 23-26 May 23,2-Jul-23,8-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/images (1).jpg?h=66&w=66&mode=stretch,Online Test,
IICD,Indian Institute of Crafts and Design,vocational-courses,21 Oct 22-21 Jan 23,16-Apr-23,28-Apr-23,https://images.collegedunia.com/public/college_data/images/logos/IICD.png?h=66&w=66&mode=stretch,Online Test,
MDUCEE,Maharshi Dayanand University Common Entrance Exam,vocational-courses,20 Jul 23-22 Aug 23,23 Aug 23-27 Aug 23,27 Aug 23-31 Aug 23,https://images.collegedunia.com/public/college_data/images/logos/mducee logo.png?h=66&w=66&mode=stretch,Online Test,Allahabad University PGAT is state level exam conducted for admissions to various postgraduate courses
