exam_name_updated,full_form,Exam_category,application_form_date,examination_date,result_date,Logo_Img_links,,Mode_of_exam,detail_text
AP EAPCET,Andhra Pradesh  Engineering Agriculture and Pharmacy Common Entrance Test,Engineering,11 Mar 24-09 May 24,15 May 24-23 May 24,14-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/Jntuk-logo.png?h=66&w=66&mode=stretch,,Online Test,OJEE is a state level exam conducted by OJEE Board for admission in first year and lateral entry into various undergraduate masters and lateral entry
TS PGECET,Telangana State Post Graduate Engineering Common Entrance Test,Engineering,03 Mar 24-05 May 24,29 May 24-01 Jun 24,8-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/Osmania_University_Logo.png?h=66&w=66&mode=stretch,,Online Test,"TS PGECET is a state level exam, conducted for admission to various regular PG courses such as M.Tech, M.Pharmacy and M.Arch"
KCET,Karnataka Common Entrance Test,Engineering,08 May 24-02 Mar 24,21-May-24,15-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/KCET.jpg?h=66&w=66&mode=stretch,,Written Test,"KCET is a state-level exam, conducted for admission to Engineering and B.Pharma courses"
AP PGECET,Andhra Pradesh Post Graduate Engineering Common Entrance Test,Engineering,21 Mar 24-22 May 24,28 May 24-30 May 24,15-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/Andhra-University-Logo.png?h=66&w=66&mode=stretch,,Online Test,"AP PGECET is conducted by Andhra University, for admission to ME/ M.Tech/ M.Pharm programs"
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,Engineering,08 Mar 24-20 Apr 24,09 May 24-20 May 24,12-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/logo-875.jpg?h=66&w=66&mode=stretch,,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
MHT CET,Maharashtra Health Sciences and Technical Common Entrance Test,Engineering,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,,Written Test,MHT CET is a state-level entrance exam conducted for admission into Engineering and Allied Health Sciences courses in Maharashtra
BCECE,Bihar Combined Entrance Competitive Examination,Engineering,07 May 24-05 Jun 24,1-Jul-24,,https://images.collegedunia.com/public/college_data/images/logos/1431169696635254929138340216_BCECE Exam.jpg?h=66&w=66&mode=stretch,,Written Test,"BCECE is an Entrance exam, conducted for admission to engineering, medical and agriculture courses in various colleges of Bihar state"
JCECE,Jharkhand Combined Entrance Competitive Examination,Engineering,29 May 24-20 Jun 24,9-Jul-24,,https://images.collegedunia.com/public/college_data/images/logos/jcece logo.jpg?h=66&w=66&mode=stretch,,Written Test,"JCECE is an entrance exam for admission to B.Tech (Dairy Technology, Agriculture Engineering), B.Sc. Agriculture, B.V.Sc. & Animal Husbandry"
NPAT,National Test for Programs After Twelfth,Engineering,01 Dec 22-21 May 23,04 Jan 23-31 May 23,,https://images.collegedunia.com/public/college_data/images/logos/NMINS Logo.png?h=66&w=66&mode=stretch,,Online Test,NPAT is university level entrance exam for admission to Undergraduate Degree and Integrated Degree Programs
PU CET,Punjab University Combined Entrance Test,Engineering,18 Apr 23-01 Mar 23,23-Apr-23,12-May-23,https://images.collegedunia.com/public/college_data/images/logos/pu logo.png?h=66&w=66&mode=stretch,,Written Test,"PU CET is a state level entrance exam conducted by Punjab University, this university offers various UG and PG Programs"
JKCET,Jammu And Kashmir Board Of Professional Entrance Examinations Common Entrance Test,Engineering,04 Apr 23-05 Jun 23,,,https://images.collegedunia.com/public/college_data/images/logos/1431940465bopee_logo_bw.jpg?h=66&w=66&mode=stretch,,Written Test,"JKCET is an entrance exam conducted by JKBOPEE, for admission to  B. Tech and B. Arch programs"
CUSAT CAT,Cochin University of Science and Technology Common Admission test,Engineering,02 Feb 23-27 Feb 23,14-May-23,12-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/1425965876gcet-logo1.jpg?h=66&w=66&mode=stretch,,Online Test,"CUSAT CAT is national level exam, conducted for admission to B.Tech, M.Tech, M.Phil, M.Voc, MCA, MBA, MA, M.Sc, LLB, BBA programs"
GCET,Goa Common Entrance Test,Engineering,27 Jan 23-26 Feb 23,29-Apr-23,,https://images.collegedunia.com/public/college_data/images/logos/cusatlogo.png?h=66&w=66&mode=stretch,,Written Test,"GCET is a state level offline entrance examination for admissions to Professional Degree courses in Engineering and Pharmacy, in the state of Goa"
AMUEEE,Aligarh Muslim University Engineering Entrance Exam,Engineering,17 Feb 24-22 Mar 24,14-May-24,13-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/AMU BALLB Logo.png?h=66&w=66&mode=stretch,,Online Test,
BHU UET,Banaras Hindu University Undergraduate Entrance Test,Engineering,19 May 24-09 Feb 24,21 May 24-11 Jun 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,,Written Test,AMUEEE is organized by Aligarh Muslim University every year for admission in B.Tech and B.Arch programs
Tripura JEE,Tripura Joint Entrance Examination,Engineering,01 Feb 24-18 Apr 24,25-Apr-24,12-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/TRIPURA-JEE.jpg?h=66&w=66&mode=stretch,,Written Test,Tripura JEE is a state level exam to admission in undergraduate and other  professional courses
HPCET,Himachal Pradesh Common Entrance Test,Engineering,21 Mar 23-23 Apr 23,14-May-23,25-May-23,https://images.collegedunia.com/public/college_data/images/logos/HPCET.jpg?h=66&w=66&mode=stretch,,Written Test,HPCET is a state level exam conducted for admission to various UG courses offered by colleges of the Himachal Pradesh
MGU CAT,Mahatma Gandhi University Common Admission Test,Engineering,10 May 23-01 Feb 23,20 May 23-21 May 23,,https://images.collegedunia.com/public/college_data/images/logos/MGU LOGO.png?h=66&w=66&mode=stretch,,Written Test,
CUET,Common Universities Entrance Test,Engineering,20 Sept 23-16 Jan 24,20 Jan 24-05 Feb 24,,https://images.collegedunia.com/public/college_data/images/logos/LPU logo.png?h=66&w=66&mode=stretch,,Written Test,AP POLYCET is a state level exam for admission to government aided and private unaided Polytechnic institutions in the state Andhra Pradesh
HP PAT,Himachal Pradesh Polytechnic Admission Test,Engineering,10 Mar 24-10 Apr 24,20-Jun-24,2-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/JNTUA Logo.png?h=66&w=66&mode=stretch,,Written Test,"JEECUP is state level exam conducted by UPBTC, for admission in  various Polytechnic programs"
CUET PG,Common Universities Entrance Test Post Graduate,Engineering,06 Jan 23-28 Mar 23,3-Apr-23,3-May-23,https://images.collegedunia.com/public/college_data/images/logos/gujarat-board-12th-time-tbale.png?h=66&w=66&mode=stretch,,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
Bihar UGEAC,Bihar Under Graduate Engineering Admission Counselling,Engineering,13 Sept 23-07 Aug 23,24-Sep-23,,https://images.collegedunia.com/public/college_data/images/logos/Karnataka pgcet_logo (1).png?h=66&w=66&mode=stretch,,Online Test,
GRE,Graduate Record Examination,Engineering,15 Dec 23-16 Apr 24,14-May-24,24-May-24,https://images.collegedunia.com/public/college_data/images/logos/sym logo.png?h=66&w=66&mode=stretch,,Written Test,
DPU AIBTCET,DY PATIL VIDYAPEETH ALL INDIA BIOTECHNOLOGY COMMON ENTRANCE TEST,Engineering,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,,Written Test,"SLIET SET is a university-level test for admission to various Undergraduate, Postgraduate, Diploma, Certificate and Ph.D. program"
OUAT,Orissa University of Agriculture and Technology,Engineering,16 Feb 24-30 Apr 24,10-May-24,20-May-24,https://images.collegedunia.com/public/college_data/images/logos/ Polycet.png?h=66&w=66&mode=stretch,,Online Test,
AUCET,Andhra University Common Entrance Test,Engineering,16 Jan 24-24 Apr 24,17-May-24,26-May-24,https://images.collegedunia.com/public/college_data/images/logos/98133_sbtet-logo.png?h=66&w=66&mode=stretch,,Online Test,IIITH PGEE is a national level exam conducted for admission into Postgraduate and Research programs
SLIET SET,Sant Longowal Institute of Engineering and Technology Entrance Exam,Engineering,03 Jan 23-02 Jun 23,18-Jun-23,17-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/SUAT LOGO.jpg?h=66&w=66&mode=stretch,,Online Test,SRMHCAT is the university level entrance test which is conducted once a year.
VEE,Vels Entrance Examination,Engineering,16 Jun 23-07 Jul 23,,,https://images.collegedunia.com/public/college_data/images/logos/jcece logo.jpg?h=66&w=66&mode=stretch,,Written Test,ASSAM CEE is an entrance exam for admission to various undergraduate engineering programs
UKSEE,Uttarakhand State Entrance Exam,Engineering,13 Jul 23-14 Jul 23,02 Aug 23-07 Aug 23,17-Aug-23,https://images.collegedunia.com/public/college_data/images/logos/FileHandler.png?h=66&w=66&mode=stretch,,Online Test,
BHU PET,Banaras Hindu University Postgraduate Entrance Test,Engineering,22 Oct 23-02 Nov 23,6-Nov-23,,https://images.collegedunia.com/public/college_data/images/logos/1432189230hleet.jpg?h=66&w=66&mode=stretch,,Written Test,TS POLYCET is conducted by State Board of Technical Education and Training Telangana for admission in polytechnic courses
UPCET,Uttar Pradesh Combined Entrance Test,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/NTA Logo.jpg?h=66&w=66&mode=stretch,,Written Test,"RUET is an university level entance exam, conducted for admission in various UG, PG and P.hd courses"
DUET,Delhi University Entrance Test,Engineering,13 Oct 23-15 Apr 24,28 Apr 24-30 Apr 24,,https://images.collegedunia.com/public/college_data/images/logos/MU OET Logo.png?h=66&w=66&mode=stretch,,Online Test,"AME CEE is the common entrance exam conducted at the national level to offer admission to some of the premier Aeronautical Engineering, Aerospace Engineering, and Aircraft Maintenance Engineering (AME) colleges in India."
GAT B,Graduate Aptitude Test Biotechnology,Engineering,15 Apr 24-20 May 24,18-Jun-24,2-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BIHAR.png?h=66&w=66&mode=stretch,,Online Test,SPSAT is an online entrance test conducted for admission in various Management and Engineering courses
Jharkhand Polytechnic,Jharkhand Polytechnic,Engineering,01 Feb 23-01 Mar 23,13-Mar-23,,https://images.collegedunia.com/public/college_data/images/logos/SAAT.png?h=66&w=66&mode=stretch,,Written Test,"JAC Delhi counselling is conducted for admission to BE/BTech and BArch degree programmes offered by 5 technical universities/institutes of the Government of NCT, Delhi."
AP POLYCET,Andhra Pradesh Polytechnic Common Entrance Test,Engineering,28 Feb 23-15 Jul 23,31-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/cet.jpg?h=66&w=66&mode=stretch,,Online Test,NMIMS Entrance Test is a computer based online examination for three different entrance tests for UG admissions.
JEECUP,UP JEE Polytechnic,Engineering,20 Oct 22-16 May 23,17 May 23-05 Jun 23,8-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/pessat.jpeg?h=66&w=66&mode=stretch,,Online Test,
LPUNEST,LPU National Entrance and Scholarship Test,Engineering,13 Jan 23-31 Jan 23,9-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/DAV.png?h=66&w=66&mode=stretch,,Written Test,BIHAR ITICAT is conducted for admission in ITI courses in various Bihar Government colleges and Institute
AP ECET,Andhra Pradesh Engineering Common Entrance Test,Engineering,23 May 23-23 Jan 23,16-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/GLA.png?h=66&w=66&mode=stretch,,Online Test,SET is a university level entrance test for UG courses
GUJCET,Gujarat Common Entrance Test,Engineering,07 Dec 22-30 Apr 23,03 May 23-10 May 23,15-May-23,https://images.collegedunia.com/public/college_data/images/logos/HITSEE.png?h=66&w=66&mode=stretch,,Online Test,MET is a university-level exam for admission to various UG and PG degree programs
Chattisgarh Pre Engineering Test,CGPET,Engineering,08 Mar 24-15 Apr 24,1-May-24,,https://images.collegedunia.com/public/college_data/images/logos/ACKNUCET logo.png?h=66&w=66&mode=stretch,,Written Test,"WBUT PGET is a state level Engineering Entrance Test, conducting for admission to M.Tech and M.Pharm programs"
Rajasthan JET,Rajasthan JET,Engineering,01 Apr 23-26 May 23,2-Jul-23,8-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/images (1).jpg?h=66&w=66&mode=stretch,,Written Test,"MAUEB conducts the entrance exam MCAER PG CET,  for admission to various Post Graduate Programs"
ITSAT,Admission Test for ICFAI Tech,Engineering,01 Jan 24-01 Jun 24,11-Jun-24,26-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/BUMAT Logo.png?h=66&w=66&mode=stretch,,Written Test,"BITS conducts the BITS HD Admission Test, this test conducted for admission in Higher Degree Program"
CUEE,Centurion University Entrance Examination,Engineering,22 Apr 23-14 Jul 23,4-Aug-23,1-Sep-23,https://images.collegedunia.com/public/college_data/images/logos/RUET.png?h=66&w=66&mode=stretch,,Written Test,"UKSEE is a state level exam which offers various courses such as B.Pharm, Bachelor of Hotel Management (BHMCT), M.C.A, and lateral entry"
UPCATET,Uttar Pradesh Combined Agriculture and Technology Entrance Test,Engineering,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,,Online Test,"BHU PET is University Level Post Graduation Entrance Exam conducted by Banaras Hindu University in Varanasi, Uttar Pradesh, for admission to General, Professional, Special and Vocational Courses"
TUEE,Tezpur University Entrance Exam,Engineering,31 Dec 22-25 Aug 23,30-Mar-23,,https://images.collegedunia.com/public/college_data/images/logos/cuee logo.png?h=66&w=66&mode=stretch,,Online Test,
NERIST Entrance Exam,North Eastern Regional Institute of Science and Technology Entrance Examination,Engineering,10 Mar 24-05 Apr 24,13-May-24,10-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/GATB.png?h=66&w=66&mode=stretch,,Online Test,"DUET is an online entrance exam conducted for admission in UG, PG, M.Phil., and Ph.D. courses offered by Delhi University"
Karnataka PGCET,Karnataka Post Graduate Common Entrance Test,Engineering,14 Aug 23-28 Aug 23,,,https://images.collegedunia.com/public/college_data/images/logos/Reap.jpg?h=66&w=66&mode=stretch,,Written Test,"JUEE is a university-level test conducted for admission in the UG, PG and Ph.D courses"
BPTPIA CET,Bihar Private Technical and Professional Institutions Association Competitive Entrance Test,Engineering,21 Feb 23-21 Apr 23,11-May-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/itm nest logo.png?h=66&w=66&mode=stretch,,Written Test,ASSAM PAT is conducted to admission in Polytechnic Diploma courses offered by various colleges in the North East
VITMEE,VIT Masters Entrance Examination,Engineering,31 Jan 24-21 Apr 24,3-Jun-24,6-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/bsacresentulogo2017.jpg?h=66&w=66&mode=stretch,,Online Test,"GLAET is conducted by GLA University, for admission in various UG and PG courses like BBA, MBA, BCA, MCA, B.Tech and M.Tech"
SPSAT,Sri Padampat Singhania Admission Test,Engineering,06 Jan 23-30 Apr 23,15 May 23-21 May 23,,https://images.collegedunia.com/public/college_data/images/logos/vignan-s-scholastic-aptitude-test-vsat-2017.png?h=66&w=66&mode=stretch,,Online Test,GRE is an international standardized test required for admission into Graduate schools in the United States of America
NIPER JEE,National Institute of Pharmaceutical Education and Research Joint Entrance Exam,Engineering,08 May 24-14 Jun 24,02 Jul 24-30 Jul 24,1-Aug-24,https://images.collegedunia.com/public/college_data/images/logos/AUAT Logo.png?h=66&w=66&mode=stretch,,Written Test,"DPU AIBTCET Exam conducted for admission to B.Tech Medical Biotechnology, M.Tech (Integrated) Biotechnology Program and other courses"
Jain Entrance Test,Jain Entrance Test,Engineering,14 Mar 24-13 May 24,28-May-24,3-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/ASSAM-CEE.jpg?h=66&w=66&mode=stretch,,Written Test,"Q Care Test is  All India Level Entrance cum Scholarship Test, conducted by Quantum University for UG courses"
RUET,Rama University Entrance Test,Engineering,21 Apr 23-06 Feb 23,6-May-23,13-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/IIITH UGEE.png?h=66&w=66&mode=stretch,,Written Test,Karnataka PGCET is a state level entrance exam conducted for admission to  MBA/MCA/M.Arch/M.Tech/ME and  lateral entry of MCA program
Allahabad University PGAT,Allahabad University Post Graduate Admission Test,Engineering,17 Feb 23-21 Apr 23,6-May-23,17-May-23,https://images.collegedunia.com/public/college_data/images/logos/IIIFH.png?h=66&w=66&mode=stretch,,Online Test,NIPER JEE is a national level entrance exam conducted to admission to various Postgraduate and Doctorate level courses in the field of Pharmacy
MET,Manipal Entrance Test,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/gre.png?h=66&w=66&mode=stretch,,Written Test,"UPCATET entrance exam is conducted for admission into various UG, PG and Ph.D. courses"
TS POLYCET,Telangana State Polytechnic Common Entrance Test,Engineering,02 Sept 23-15 Apr 24,19 Jan 24-21 Jan 24,25-Jan-24,https://images.collegedunia.com/public/college_data/images/logos/kiit-entrance-exam.png.jpg?h=66&w=66&mode=stretch,,Online Test,JET is an entrance exam conducted for admission to various UG and PG courses offered by Jain University
UBTER JEEP,Uttarakhand Board Of Technical Education Joint Entrance Exam Polytechnic,Engineering,01 Mar 23-03 Apr 23,23-Apr-23,26-May-23,https://images.collegedunia.com/public/college_data/images/logos/NTA-Logo.png?h=66&w=66&mode=stretch,,Written Test,"TUEE exam conducted by Tezpur University, Assam for admission in various integrated, post-graduate, pg diploma and certificate courses"
MP PPT,Madhya Pradesh Pre Polytechnic Test,Engineering,21 May 24-30 Jun 24,,,https://images.collegedunia.com/public/college_data/images/logos/Devi_Ahilya_Vishwavidyalaya_Logo.png?h=66&w=66&mode=stretch,,Online Test,Allahabad University PGAT is state level exam conducted for admissions to various postgraduate courses
SUAT,Sharda University Admission Test,Engineering,01 Feb 24-11 Mar 24,26-Mar-24,14-Apr-24,,,Written Test,UBTER JEEP Entrance Exam is conducted for admission to various diploma programs in the fields of engineering and pharmacy
JEECE,Jharkhand Engneering Entrance Cometitive Examination,Engineering,03 May 24-09 Jun 24,21 Jun 24-23 Jun 24,10-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/CED Delhi logo.png?h=66&w=66&mode=stretch,,Written Test,"MP PPT is a state level entrance exam, conducted for admission to various diploma programs"
DSAT,Dayanand Sagar Admission Test,Engineering,16 Nov 23-05 Dec 23,8-Jan-24,,https://images.collegedunia.com/public/college_data/images/logos/aisee logo.png?h=66&w=66&mode=stretch,,Online Test,"VITMEE exam is conducted for admission to MCA, M.Tech/M.Tech and Integrated Ph.D programs in VIT"
AISEEE,All India Sankara Engineering Entrance Exam,Engineering,06 Jun 23-04 Apr 23,12-Jun-23,20-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/sliet.jpg?h=66&w=66&mode=stretch,,Written Test,IUET is a state level entrance exam for admission into U.G. and PG. Programmes
Assam CEE,Assam Combined Entrance Examination,Engineering,29 Dec 23-01 Jun 24,10-Jun-24,4-Aug-24,https://images.collegedunia.com/public/college_data/images/logos/images.jfif?h=66&w=66&mode=stretch,,Online Test,LPUNEST is admission test for the LPU University
TNEA,Tamil Nadu Engineering Admissions,Engineering,01 Apr 24-28 Apr 24,30-Apr-24,7-May-24,https://images.collegedunia.com/public/college_data/images/logos/ajeebannerimg.jpg?h=66&w=66&mode=stretch,,Online Test,AP ECET 2023 is an engineering common entrance test for diploma holders and B.Sc graduates.
IMU CET,Indian Maritime University Common Entrance Test,Engineering,01 Sept 23-23 Apr 24,15-May-24,,https://images.collegedunia.com/public/college_data/images/logos/AME CEE.png?h=66&w=66&mode=stretch,,Written Test,GSEB  conducts the state level test GUJCET  for admission to B.E./B.Tech courses
WBUT PGET,West Bengal University of Technology Post Graduate Entrance Test,Engineering,22 Feb 23-26 Jun 23,6-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/ps wisdom logo.png?h=66&w=66&mode=stretch,,Online Test,CGPET is a test for admission  to various government and private colleges of Chattisgarh
MCAER PG CET,Maharashtra Council of Agriculture Education and Research Common Entrance Test,Engineering,15 Mar 24-24 May 24,26-Jun-24,,https://images.collegedunia.com/public/college_data/images/logos/SRM.png?h=66&w=66&mode=stretch,,Written Test,"Rajasthan JET is a state level joint entrance exam, conducted by Maharana Pratap University of Agriculture and Technology"
BITS HD,BITS HD Admission Test,Engineering,06 Apr 23-09 May 23,23-Jun-23,21-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/OUAT Logo.png?h=66&w=66&mode=stretch,,Online Test,ITSAT is conducted by The ICFAI Foundation for Higher Education in Hyderabad for admission into the B.Tech/B.E Program
JUEE,Jagannath University Entrance Exam,Engineering,06 Nov 23-21 Sept 23,13-Nov-23,26-Nov-23,https://images.collegedunia.com/public/college_data/images/logos/top-private-university-in-haryana-250x250.jpg?h=66&w=66&mode=stretch,,Written Test,DAVUET is a university level examination to admission to various undergraduate courses in Engineering and Science
ASSAM PAT,Assam Polytechnic Admission Test,Engineering,09 Feb 23-30 Mar 23,21 May 23-31 May 23,,https://images.collegedunia.com/public/college_data/images/logos/1491817267UniversityofDelhi.png?h=66&w=66&mode=stretch,,Online Test,"HITSEEE is conducted by HITS. This university offers UG programs in Engineering, Technology, Management and Architecture"
GLAET,GLA University Entrance Test,Engineering,04 Apr 23-31 May 23,12-Jun-23,20-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/SKUCET 2016 Counselling Schedule sku pgcet counselling Fee.jpg?h=66&w=66&mode=stretch,,Written Test,
IUET,Integral University Entrance Test,Engineering,,,,,,Online Test,"SUAT is an university level exam, conducted by Sharda University for admission to courses such as B.Tech., BCA, MCA, B.Tech"
CMRUAT,CMR University Admission Test,Engineering,10 Apr 23-15 May 23,1-Jun-23,10-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/REVA.png?h=66&w=66&mode=stretch,,Written Test,JEECE is an entrance exam conducted for admission in engineering courses in Jharkhand state
Haryana DET,Haryana Diploma Entrance Test,Engineering,25 Oct 23-30 Nov 23,15 Dec 23-22 Dec 23,25-Mar-24,https://images.collegedunia.com/public/college_data/images/logos/amiete logo.PNG?h=66&w=66&mode=stretch,,Online Test,"DSAT is a university level entrance exam organized by Dayanand Sagar University, conducted for admission to various UG and PG program in DSU"
ITM NEST,ITM National Entrance and Scholarship Test,Engineering,01 Jun 23-02 Aug 23,5-Aug-23,1-Sep-23,https://images.collegedunia.com/public/college_data/images/logos/vbspu-logo.png?h=66&w=66&mode=stretch,,Written Test,OUAT Entrance Exam is a university level exam for UG programs and Agro-Polytechnic program
CIEAT,Crescent Institute Admission Test,Engineering,25 Apr 23-25 May 23,9-Jun-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/JEEP LOGO.png?h=66&w=66&mode=stretch,,Written Test,"AUAT  is a national level entrance exam conducted by Aliah University for admission to various UG, PG and five-year integrated courses"
VSAT,Vignan Scholastic Aptitude Test,Engineering,19 Jun 23-02 May 23,25-Jun-23,11-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/mp-vyapam-sseo-syllabus.jpg?h=66&w=66&mode=stretch,,Written Test,BPTPIA CET conducted for admission in UG Engineering/Technology Degree (B.Tech) and Diploma (Polytechnic) courses
AUAT,Aliah University Admission Test,Engineering,27 Mar 23-28 Jun 23,30-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/SVHU.png?h=66&w=66&mode=stretch,,Online Test,IMU CET is a national level entrance exam conducted for admissions into various disciplines of UG and PG courses
Amity JEE,Amity Joint Entrance Examination,Engineering,14 Apr 23-18 May 23,10-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/5428519286479402c76ea57b623abb53.jpg?h=66&w=66&mode=stretch,,Online Test,
AAEEE,All India Avinashilingam Engineering Entrance Exam,Engineering,22 May 23-16 Jun 23,17-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/icar-logo.gif?h=66&w=66&mode=stretch,,Online Test,
AEEE,Amrita  Engineering  Entrance Examination,Engineering,01 May 23-24 May 23,6-Jun-23,7-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/MZU.png?h=66&w=66&mode=stretch,,Online Test,SRMJEEE is a Joint Entrance Examination for admission to B.Tech and M.Tech programs
SAAT,Siksha O Anusandhan University Admission Test,Engineering,01 Dec 23-21 May 24,04 Jan 24-31 May 24,19 Jun 24-23 Jun 24,,,Online Test,AISEEE is university level exam conducted by SCSVMV university for admission in B.E. courses.
