College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
"Goa College of Art, Panji","Panji,  Goa",AICTE,Estd 1972,Public,6.2,
"Goa College of Hospitality and Culinary Education , North Goa","North Goa,  Goa",UGC,Estd 1995,Private,,
"Shree Damodar College of Commerce and Economics, Salcete","Salcete,  Goa",UGC,Estd 1973,Public,7.9,
"Goa Dental College and Hospital - [GDCH], North Goa","North Goa,  Goa",DCI,Estd 1980,Public Institute,8.8,
"Guardian Angel Institute of Hotel Management and Catering Technology - [GAIHM], South Goa","South Goa,  Goa",AICTE,Estd 1997,Private Institute,,
"Govind Ramnath Kare College of Law, South Goa","South Goa,  Goa","BCI, UGC",Estd 1979,Private Institute,5.8,
Goa Medical College,"Tiswadi,  Goa",MCI,Estd 1842,Government,8.2,"Goa Medical College, founded by the Portuguese in 1842, is one of the oldest medical colleges in India. The college offers UG and PG programs in 19 specializations, Diploma in 8 specializations  and Allied Health Courses such as Bachelor in Physiotherapy, Bachelor in Occupational Therapy, Bachelor in Optometry, B.Sc in Medical Imaging Technology and Anaesthesia Technology. Admission to UG and PG courses is through NEET UG & NEET  PG score. Application forms for admission are available on the official website of DTE, Goa and can also be delivered offline. The minimum eligibility for MBBS is 10 + 2 with minimum 50% marks in PCB / Biotech combined."
"Narayan Zantye College of Commerce, North Goa","North Goa,  Goa",,Estd 1994,Public,10.0,
"National Institute of Oceanography - [NIO], Panji","Panji,  Goa",UGC,Estd 1966,Public (Autonomous),8.8,"National Institute of Oceanography (NIO), Goa was established in the year 1996. The autonomous institute of research is one of the 37 research laboratories of the CSIR. The institute offers Doctorate programs in Science. Candidates seeking admission can apply for courses online through the official website."
"GVM's Dr. Dada Vaidya College of Education, Ponda","Ponda,  Goa","NCTE, UGC",Estd 1993,Private,,
Goa University,"North Goa,  Goa","UGC, MHRD, AIU",Estd 1985,State University,7.2,"Goa University is a state-level university, accredited by NAAC with Grade A for being a leading pedagogic institute. Goa University imparts education at UG, PG, Doctoral & Diploma levels. It has a total of 56 affiliated colleges providing both professional and general education. The University on its campus has 1 Centre, 14 Departments, and 7 Schools. In addition, 9 institutions are recognized for research programs leading to the Ph.D. degree by the University. Check: Goa University Courses "
"S. S. Dempo College of Commerce and Economics, Panji","Panji,  Goa",,Estd 1966,Private,6.6,S. Dempo College of Commerce and Economics was established in the year 1966 by the Goa Education Society. The institute is located in the North Goa district in the state of Goa. The college is affiliated with Goa University and is accredited by NAAC at grade ‘A” with a CGPA of 3.30 on a 4 point scale. 
"Don Bosco College, Panji","Panji,  Goa",,Estd 2001,Private,6.3,"Don Bosco College, situated in the heart of Panjim, was established in the year 2001. The college offers UG, PG and certificate courses like BBA, BA, MSW, B.PEd, MCA, etc. Additionally, it also provides a certificate course in Sound Engineering. The admission is based on both merit and entrance exam. The application mode is online."
"Enviroskills Academy - [ESA], Panji","Panji,  Goa",,Estd 2017,Private,,"Enviroskills Academy (ESA), Goa is awarded the ‘Education Leadership Award’ by Business School Affaire and Dewang Mehta National Education Awards. ESA, Goa offers a diploma program in the discipline of Hotel Management. The institute has 4 campuses in different countries which are as follows:"
IIHM Goa,"South Goa,  Goa",,Estd 2004,Private,8.7,"International Institute of Hotel Management (IIHM) Goa is a prestigious institute established in 2004. It has been approved by AICTE. The institute offers Bachelor of Tourism Studies, Bachelor of Hospitality Management, and Advanced Program in Hospitality Management. Apart from these, there is also a dual degree program and short term certification courses. IIHM South Goa boasts an excellent academic learning culture with modern facilities. It has also maintained an outstanding placement record in reputed brands over the years."
"JD Institute of Fashion Technology, Panji","Panji,  Goa",,,Private,,
"Government College of Arts, Science and Commerce, North Goa","North Goa,  Goa",,Estd 1989,Government,,
"Fr. Agnel College of Arts and Commerce - [ACAC], North Goa","North Goa,  Goa",UGC,Estd 1991,,,
"Government Polytechnic, Bicholim","Bicholim,  Goa",AICTE,Estd 1992,Government,,"Government Polytechnic Bicholim is a pioneer institute of technology established in the year 1992. The institute has been approved by the All India Council for Technical Education. Currently, it is running a Diploma in Engineering program across five specializations. Admissions are conducted by DTE, Govt. of Goa on the basis of merit. The institute has a spacious campus with good infrastructural facilities."
"Agnel Polytechnic, South Goa","South Goa,  Goa",AICTE,Estd 1983,Private,,"Agnel Polytechnic Verna came into existence in the year of 1981 in Verna, Goa. The institution is affiliated to Board of Technical Examinations, Mumbai. The college has 8 academic departments that conduct various Diploma level courses. It offers 7 diploma courses for students who have passed 10th examinations. Admissions are done by means of centralized admission procedure as per the guidelines of Directorate of Technical Education, Government of Goa. Agnel Polytechnic Verna has a dedicated placement cell conducting the recruitment drives every year. "
"Government Polytechnic, Curchorem","Curchorem,  Goa",AICTE,Estd 1996,Government,,
"Government Polytechnic - [GPP], Panji","Panji,  Goa",AICTE,Estd 1963,Government,8.2,"Government Polytechnic Panji (GPP) is one of the best colleges in Goa. The College is affiliated to Goa State Directorate of Technical Education and has got its approval from AICTE. This College offers Different types of diploma Courses across varied branches to its students. Students are provided admissions to the college through the Centralised counselling conducted by Directorate of Technical Education under the Goa State government. It is one of the oldest and biggest Colleges in Goa. The college provide its students with the best of Facilities to compete with all the future competitions, which aids them in developing individual skills."
"Sant Sohirobanath Ambiye, Government College of Arts and Commerce, Pernem","Pernem,  Goa",,Estd 1993,Government,,
"Shri. Chetan Manju Desai College, Cancona","Cancona,  Goa",,Estd 1993,,,
"Government College Of Commerce and Economics - [GCCEM], South Goa","South Goa,  Goa",,Estd 2010,,,
"Indian Institute of Tourism and Travel Management - [IITTM], Panji","Panji,  Goa",,Estd 2004,Private,,"Indian Institute of Tourism and Travel Management is a private management institute offering BBA and MBA programs at the UG and PG level. Admission to the UG courses will be done based on the candidate’s performance in the previous qualifying examination whereas for PG courses, the candidate's performance in the national/ state level entrance examinations."
"National Institute of Construction Management and Research - [NICMAR], Ponda","Ponda,  Goa",,,Private,,
"PES’s Ravi S Naik College of Arts & Science- [PRSNCAS], Ponda","Ponda,  Goa",,Estd 1986,Private,,
"India International University of Legal Education and Research, South Goa","South Goa,  Goa",,Estd 1986,Private,,
"Panache Academy, Panji","Panji,  Goa",,,Private,,
"Goa College of Music, Panji","Panji,  Goa",,Estd 1987,Public,,
"Vrundavan Institute of Nursing Education, Bardez","Bardez,  Goa",,Estd 2005,Private,,
